"term","gene"
"GO:0006383","TFC3"
"GO:0006384","TFC3"
"GO:0042791","TFC3"
"GO:0071168","TFC3"
"GO:0006623","VPS8"
"GO:0006886","VPS8"
"GO:0007009","VPS8"
"GO:0015031","VPS8"
"GO:0016192","VPS8"
"GO:0032511","VPS8"
"GO:0032889","VPS8"
"GO:0099022","VPS8"
"GO:0006412","EFB1"
"GO:0006414","EFB1"
"GO:0006449","EFB1"
"GO:0032232","EFB1"
"GO:1990145","EFB1"
"GO:0000209","SSA1"
"GO:0002181","SSA1"
"GO:0006457","SSA1"
"GO:0006606","SSA1"
"GO:0006616","SSA1"
"GO:0033554","SSA1"
"GO:0034605","SSA1"
"GO:0035617","SSA1"
"GO:0042026","SSA1"
"GO:0043161","SSA1"
"GO:0045892","SSA1"
"GO:0051170","SSA1"
"GO:0070482","SSA1"
"GO:0072318","SSA1"
"GO:0072671","SSA1"
"GO:0006621","ERP2"
"GO:0006888","ERP2"
"GO:0006900","ERP2"
"GO:0015031","ERP2"
"GO:0016192","ERP2"
"GO:0007005","FUN14"
"GO:0055091","FUN14"
"GO:0006629","SPO7"
"GO:0006998","SPO7"
"GO:0030435","SPO7"
"GO:0061709","SPO7"
"GO:0071071","SPO7"
"GO:0071072","SPO7"
"GO:0007005","MDM10"
"GO:0007031","MDM10"
"GO:0015914","MDM10"
"GO:0045040","MDM10"
"GO:0051654","MDM10"
"GO:0055091","MDM10"
"GO:0070096","MDM10"
"GO:1990456","MDM10"
"GO:0006325","SWC3"
"GO:0006338","SWC3"
"GO:0006355","SWC3"
"GO:0007029","SWC3"
"GO:0008652","CYS3"
"GO:0019343","CYS3"
"GO:0019344","CYS3"
"GO:0019346","CYS3"
"GO:1904828","CYS3"
"GO:0000122","DEP1"
"GO:0006325","DEP1"
"GO:0006334","DEP1"
"GO:0006357","DEP1"
"GO:0010468","DEP1"
"GO:0030174","DEP1"
"GO:0034605","DEP1"
"GO:0045944","DEP1"
"GO:0061186","DEP1"
"GO:0061188","DEP1"
"GO:1900089","DEP1"
"GO:1900090","DEP1"
