"term","name"
"GO:0000001","mitochondrion inheritance"
"GO:0000011","vacuole inheritance"
"GO:0000012","single strand break repair"
"GO:0000017","alpha-glucoside transport"
"GO:0000018","regulation of DNA recombination"
"GO:0000019","regulation of mitotic recombination"
"GO:0000022","mitotic spindle elongation"
"GO:0000023","maltose metabolic process"
"GO:0000025","maltose catabolic process"
"GO:0000027","ribosomal large subunit assembly"
"GO:0000028","ribosomal small subunit assembly"
"GO:0000032","cell wall mannoprotein biosynthetic process"
"GO:0000038","very long-chain fatty acid metabolic process"
"GO:0000041","transition metal ion transport"
"GO:0000045","autophagosome assembly"
"GO:0000050","urea cycle"
"GO:0000053","argininosuccinate metabolic process"
"GO:0000054","ribosomal subunit export from nucleus"
"GO:0000055","ribosomal large subunit export from nucleus"
"GO:0000056","ribosomal small subunit export from nucleus"
"GO:0000070","mitotic sister chromatid segregation"
"GO:0000073","initial mitotic spindle pole body separation"
"GO:0000076","DNA replication checkpoint signaling"
"GO:0000077","DNA damage checkpoint signaling"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082","G1/S transition of mitotic cell cycle"
"GO:0000086","G2/M transition of mitotic cell cycle"
"GO:0000096","sulfur amino acid metabolic process"
"GO:0000097","sulfur amino acid biosynthetic process"
"GO:0000101","sulfur amino acid transport"
"GO:0000103","sulfate assimilation"
"GO:0000105","L-histidine biosynthetic process"
"GO:0000122","negative regulation of transcription by RNA polymerase II"
"GO:0000128","flocculation"
"GO:0000132","establishment of mitotic spindle orientation"
"GO:0000147","actin cortical patch assembly"
"GO:0000154","rRNA modification"
"GO:0000160","phosphorelay signal transduction system"
"GO:0000162","L-tryptophan biosynthetic process"
"GO:0000165","MAPK cascade"
"GO:0000183","rDNA heterochromatin formation"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0000196","cell integrity MAPK cascade"
"GO:0000209","protein polyubiquitination"
"GO:0000212","meiotic spindle organization"
"GO:0000226","microtubule cytoskeleton organization"
"GO:0000244","spliceosomal tri-snRNP complex assembly"
"GO:0000245","spliceosomal complex assembly"
"GO:0000256","allantoin catabolic process"
"GO:0000266","mitochondrial fission"
"GO:0000271","polysaccharide biosynthetic process"
"GO:0000272","polysaccharide catabolic process"
"GO:0000278","mitotic cell cycle"
"GO:0000280","nuclear division"
"GO:0000281","mitotic cytokinesis"
"GO:0000282","cellular bud site selection"
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening"
"GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"GO:0000292","RNA fragment catabolic process"
"GO:0000294","nuclear-transcribed mRNA catabolic process, RNase MRP-dependent"
"GO:0000296","spermine transport"
"GO:0000301","retrograde transport, vesicle recycling within Golgi"
"GO:0000302","response to reactive oxygen species"
"GO:0000304","response to singlet oxygen"
"GO:0000316","sulfite transmembrane transport"
"GO:0000320","re-entry into mitotic cell cycle"
"GO:0000321","re-entry into mitotic cell cycle after pheromone arrest"
"GO:0000338","protein deneddylation"
"GO:0000348","mRNA branch site recognition"
"GO:0000349","generation of catalytic spliceosome for first transesterification step"
"GO:0000350","generation of catalytic spliceosome for second transesterification step"
"GO:0000354","cis assembly of pre-catalytic spliceosome"
"GO:0000372","Group I intron splicing"
"GO:0000373","Group II intron splicing"
"GO:0000375","RNA splicing, via transesterification reactions"
"GO:0000378","RNA exon ligation"
"GO:0000379","tRNA-type intron splice site recognition and cleavage"
"GO:0000380","alternative mRNA splicing, via spliceosome"
"GO:0000387","spliceosomal snRNP assembly"
"GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)"
"GO:0000389","mRNA 3'-splice site recognition"
"GO:0000390","spliceosomal complex disassembly"
"GO:0000393","spliceosomal conformational changes to generate catalytic conformation"
"GO:0000395","mRNA 5'-splice site recognition"
"GO:0000398","mRNA splicing, via spliceosome"
"GO:0000409","regulation of transcription by galactose"
"GO:0000411","positive regulation of transcription by galactose"
"GO:0000422","autophagy of mitochondrion"
"GO:0000423","mitophagy"
"GO:0000425","pexophagy"
"GO:0000431","regulation of transcription from RNA polymerase II promoter by galactose"
"GO:0000435","positive regulation of transcription from RNA polymerase II promoter by galactose"
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000451","rRNA 2'-O-methylation"
"GO:0000452","snoRNA guided rRNA 2'-O-methylation"
"GO:0000454","snoRNA guided rRNA pseudouridine synthesis"
"GO:0000455","enzyme-directed rRNA pseudouridine synthesis"
"GO:0000460","maturation of 5.8S rRNA"
"GO:0000461","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000464","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000465","exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
