.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR5482575_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR5482575_2	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR5482576_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR5482576_2	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR5482577_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR5482577_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
SRR5482578_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR5482578_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
SRR5482579_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR5482579_2	1	1	1	1	0.5	1	1	1	0.25	1	1
SRR5482580_1	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR5482580_2	1	1	1	1	0.5	1	1	1	0.25	1	1
