Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR5482575_1 - illumina_universal_adapter	(1, 0.0011003959073613958)	(2, 0.0011048329876330143)	(3, 0.0011092700679046327)	(4, 0.001135892549534344)	(5, 0.001153640870620818)	(6, 0.0011802633522505293)	(7, 0.001202448753608622)	(8, 0.0012423824760531886)	(9, 0.0012645678774112813)	(10, 0.0013067201399916575)	(12, 0.0013444353223004148)	(14, 0.0013888061250166002)	(16, 0.0014198656869179298)	(18, 0.0014642364896341152)	(20, 0.0014864218909922079)	(22, 0.0014997331318070636)	(24, 0.001519699993029347)	(26, 0.0015396668542516302)	(28, 0.0015662893358813416)	(30, 0.0016150972188691453)	(32, 0.0016905275834866603)	(34, 0.001863573714079783)	(36, 0.0021519839317349874)	(38, 0.002691089184736639)	(40, 0.0037071805669372827)	(42, 0.005575191361288684)	(44, 0.008250750765074658)	(46, 0.012066639798666595)	(48, 0.0176950761232147)	(50, 0.026569236666451765)	(52, 0.03995590784592487)	(54, 0.0569388325855448)	(56, 0.07703215059556931)	(58, 0.10331741412463749)	(60, 0.1382039577602382)	(62, 0.18629968936444727)	(64, 0.24888470659562661)	(66, 0.32460126289066105)	(68, 0.411221943953198)	(70, 0.5130063468439914)	(72, 0.6394919756068851)	(74, 0.7981797144410501)	(76, 0.982669075054677)	(78, 1.1827303688815491)	(80, 1.4011944531349592)	(82, 1.6504430003128585)	(84, 1.9467711877127662)	(86, 2.2880403426437623)	(88, 2.6527905263721636)	(90, 2.9358474066796605)
SRR5482575_1 - polya	(1, 0.003913504799567544)	(2, 0.004268471221297027)	(3, 0.0045968151613967985)	(4, 0.004973966984484373)	(5, 0.005368867128658423)	(6, 0.005910190921795884)	(7, 0.00679760697611959)	(8, 0.00818641310113619)	(9, 0.010014490173043025)	(10, 0.012785446802668797)	(12, 0.015514251169714194)	(14, 0.018846498453699713)	(16, 0.02310387697431769)	(18, 0.029917013731387946)	(20, 0.037295878223089565)	(22, 0.04075901937508783)	(24, 0.04452831906582777)	(26, 0.04745235496482438)	(28, 0.05017006663119073)	(30, 0.05334479756553379)	(32, 0.05565873492718285)	(34, 0.05814571841942504)	(36, 0.06014462308178919)	(38, 0.06225223621080799)	(40, 0.0640758762024432)	(42, 0.06621676743349915)	(44, 0.06831772494211052)	(46, 0.07054513923846303)	(48, 0.073313877327953)	(50, 0.07561228490865138)	(52, 0.07870714839810532)	(54, 0.08149807188895336)	(56, 0.08342598326697162)	(58, 0.08553137785585462)	(60, 0.08783865959709625)	(62, 0.09080041067840161)	(64, 0.1250080810324447)	(66, 0.13034588859920176)	(68, 0.13517786901499435)	(70, 0.13835038140920158)	(72, 0.1409327621272836)	(74, 0.14272312401688167)	(76, 0.14444249262213385)	(78, 0.14649686078789323)	(80, 0.1486200036978627)	(82, 0.1512933445615129)	(84, 0.15415526133670682)	(86, 0.1565712515446031)	(88, 0.1588962816069312)	(90, 0.16082197444481366)
SRR5482575_2 - illumina_universal_adapter	(1, 0.0010915217468181586)	(2, 0.0011048329876330143)	(3, 0.0011048329876330143)	(4, 0.001153640870620818)	(5, 0.0011713891917072923)	(6, 0.0012068858338802405)	(7, 0.0012335083155099516)	(8, 0.0012645678774112813)	(9, 0.001277879118226137)	(10, 0.0013266870012139408)	(12, 0.0013644021835226984)	(14, 0.0014087729862388835)	(16, 0.0014487067086834504)	(18, 0.0015485410147948672)	(20, 0.0015773820365603877)	(22, 0.0015973488977826713)	(24, 0.0016261899195481916)	(26, 0.0016594680215853306)	(28, 0.001694964663758279)	(30, 0.0017437725467460826)	(32, 0.0018169843712277883)	(34, 0.0019989046623641485)	(36, 0.002307281741241636)	(38, 0.0028774465561446174)	(40, 0.00389575647848107)	(42, 0.0057770785136473275)	(44, 0.008468167698383967)	(46, 0.012328427534692089)	(48, 0.017992360501413146)	(50, 0.026928640168452866)	(52, 0.04045064229621034)	(54, 0.05756002382357139)	(56, 0.07783304358459647)	(58, 0.10432241280615909)	(60, 0.13950845936009404)	(62, 0.18808117709350208)	(64, 0.2511232135926582)	(66, 0.3273877493012375)	(68, 0.4150777667092346)	(70, 0.5183175319291187)	(72, 0.6466489860850057)	(74, 0.8075197684128071)	(76, 0.9941233977758602)	(78, 1.1959306826896143)	(80, 1.4167087043046735)	(82, 1.6683887714714196)	(84, 1.967947153309066)	(86, 2.312788157858715)	(88, 2.6818711504723516)	(90, 2.969165442439244)
SRR5482575_2 - polya	(1, 0.007125950916219361)	(2, 0.010169787982549673)	(3, 0.011953494251740323)	(4, 0.014358391758957567)	(5, 0.016745540945088337)	(6, 0.019163749693120437)	(7, 0.020920833480681373)	(8, 0.02408003463407377)	(9, 0.026950825569810957)	(10, 0.03185379926994943)	(12, 0.035975846842283055)	(14, 0.04049945017919814)	(16, 0.04500530519502676)	(18, 0.049673113640769456)	(20, 0.05402588938722723)	(22, 0.058320983090153974)	(24, 0.06300653985698315)	(26, 0.06782742757209667)	(28, 0.07207371339203561)	(30, 0.07613364184056656)	(32, 0.08043982824417234)	(34, 0.08438882968591285)	(36, 0.08863289696571597)	(38, 0.0933095795720019)	(40, 0.09805947400276954)	(42, 0.10237675310705437)	(44, 0.10667406535011692)	(46, 0.11143283394142779)	(48, 0.11611173508784953)	(50, 0.12070855024924633)	(52, 0.12513675636032162)	(54, 0.1292521483122478)	(56, 0.1340863472681762)	(58, 0.15186572791655167)	(60, 0.19618328566947754)	(62, 0.21359217011517284)	(64, 0.2218695433618772)	(66, 0.2273471189571903)	(68, 0.23246750959063808)	(70, 0.23774985365399995)	(72, 0.2422423974290137)	(74, 0.24706994076453467)	(76, 0.2521592718360811)	(78, 0.256824861741688)	(80, 0.261233100991541)	(82, 0.26587428695565396)	(84, 0.27062418138642164)	(86, 0.2755781815096837)	(88, 0.2805743338955262)	(90, 0.2840929385509197)
SRR5482576_1 - illumina_universal_adapter	(1, 7.61322927503887e-05)	(2, 8.62832651171072e-05)	(3, 0.00010150972366718494)	(4, 0.0001522645855007774)	(5, 0.00016749104405085517)	(6, 0.00025377430916796235)	(7, 0.00029945368481819557)	(8, 0.00035020854665178804)	(9, 0.0003755859775685843)	(10, 0.0004364918117688953)	(12, 0.0005303883061610413)	(14, 0.0005938318834530318)	(16, 0.0006496622314699837)	(18, 0.0007004170933035761)	(20, 0.0007816248722373241)	(22, 0.0008247665047958776)	(24, 0.0008577571649877127)	(26, 0.0008780591097211497)	(28, 0.000895823311362907)	(30, 0.0009364272008297811)	(32, 0.0010100217504884902)	(34, 0.0012003524823644618)	(36, 0.001395758700423793)	(38, 0.0018322505121926881)	(40, 0.0026620925031719247)	(42, 0.004095917349970913)	(44, 0.006227621546981796)	(46, 0.009047054121837858)	(48, 0.01301862206031647)	(50, 0.01915742259908948)	(52, 0.0276487109838495)	(54, 0.03845188332512965)	(56, 0.050437643947132516)	(58, 0.06528597877655)	(60, 0.08416171189246305)	(62, 0.10921431169352427)	(64, 0.1418547633387076)	(66, 0.1799792778050106)	(68, 0.22350157182731611)	(70, 0.2745558873457268)	(72, 0.3386694288139208)	(74, 0.4206562948768144)	(76, 0.5171438249655653)	(78, 0.6259394090489625)	(80, 0.7491214587190914)	(82, 0.8931536056304601)	(84, 1.0723893247096086)	(86, 1.2866179832799274)	(88, 1.5247445685445933)	(90, 1.714194703567752)
SRR5482576_1 - polya	(1, 0.0011419843912558307)	(2, 0.0013805322418737151)	(3, 0.001745967247075581)	(4, 0.002111402252277447)	(5, 0.0026138753844300124)	(6, 0.0032787640744500737)	(7, 0.004177125128904661)	(8, 0.005598261260245249)	(9, 0.007623380247405589)	(10, 0.010815861056738554)	(12, 0.014312871037073077)	(14, 0.018172778279517784)	(16, 0.023288868352343905)	(18, 0.030156001158428966)	(20, 0.03754337129830835)	(22, 0.04166974156537942)	(24, 0.04570221533805834)	(26, 0.04859778020566479)	(28, 0.05207702598435755)	(30, 0.05689366237236548)	(32, 0.06018765290536564)	(34, 0.06379886132482573)	(36, 0.06644826511253926)	(38, 0.0686611770884839)	(40, 0.07057717312270201)	(42, 0.07288905707922214)	(44, 0.07550547020674384)	(46, 0.07814472302209065)	(48, 0.08117986375973948)	(50, 0.08392570178493683)	(52, 0.08850886580851022)	(54, 0.09196780964246956)	(56, 0.09427461811280632)	(58, 0.09704075808273713)	(60, 0.09996677586744374)	(62, 0.10386221151317196)	(64, 0.14165174389137322)	(66, 0.14830824402084888)	(68, 0.15390650528109412)	(70, 0.1572969300515781)	(72, 0.1599742490133001)	(74, 0.16183695244259294)	(76, 0.16363367455150213)	(78, 0.1654786137791532)	(80, 0.1676483841225393)	(82, 0.17071397777728828)	(84, 0.17371612785474527)	(86, 0.1761929651122246)	(88, 0.17866218914042886)	(90, 0.18058072291773866)
SRR5482576_2 - illumina_universal_adapter	(1, 7.61322927503887e-05)	(2, 9.135875130046645e-05)	(3, 0.00010150972366718494)	(4, 0.0001522645855007774)	(5, 0.0001725665302342144)	(6, 0.00024362333680124387)	(7, 0.00026392528153468085)	(8, 0.00030960465718491407)	(9, 0.00034005757428506953)	(10, 0.0004212653532188175)	(12, 0.0005100863614276043)	(14, 0.0005684544525362356)	(16, 0.0006344357729199058)	(18, 0.0007156435518536539)	(20, 0.0008247665047958776)	(22, 0.0008729836235377905)	(24, 0.0009110497699129849)	(26, 0.0009364272008297811)	(28, 0.000964342374838257)	(30, 0.00101255949358017)	(32, 0.0010912295294222382)	(34, 0.0012688715458398117)	(36, 0.0014642777638991427)	(38, 0.0019109205480347564)	(40, 0.0027204605942805563)	(42, 0.004156823184171223)	(44, 0.006260612207173631)	(46, 0.009074969295846334)	(48, 0.012962791712299516)	(50, 0.019060988361605653)	(52, 0.0275116728568988)	(54, 0.0382717035656204)	(56, 0.05024477547216487)	(58, 0.06503981769665707)	(60, 0.083892711124745)	(62, 0.10871945179064677)	(64, 0.14130153534472145)	(66, 0.17932707783044893)	(68, 0.22283668313729604)	(70, 0.27407371615830767)	(72, 0.33824308797451863)	(74, 0.4203340015041711)	(76, 0.5168748241978474)	(78, 0.625586662759219)	(80, 0.7483220696452124)	(82, 0.8921968764848969)	(84, 1.0713742274729368)	(86, 1.2847527421075429)	(88, 1.5224225336157065)	(90, 1.7117584701997397)
SRR5482576_2 - polya	(1, 0.006009375641097349)	(2, 0.008937931168895633)	(3, 0.011343711619807918)	(4, 0.01408954964500527)	(5, 0.016957199338603245)	(6, 0.019865452921668095)	(7, 0.02217479913509655)	(8, 0.02485465583991023)	(9, 0.028067438593976635)	(10, 0.033363708426312005)	(12, 0.03796463665152717)	(14, 0.044136427850492016)	(16, 0.04959765098378656)	(18, 0.05613487718795328)	(20, 0.06239041390894355)	(22, 0.06772474988765412)	(24, 0.07341183215610815)	(26, 0.07926894321170472)	(28, 0.08373537105306086)	(30, 0.08799877944708262)	(32, 0.09246774503153044)	(34, 0.0966575588758935)	(36, 0.10116205286362484)	(38, 0.10613349158022521)	(40, 0.1109552034544165)	(42, 0.11547746164378958)	(44, 0.11986775719239534)	(46, 0.12443315701432697)	(48, 0.12925233114542659)	(50, 0.13396238232358398)	(52, 0.13860898992444937)	(54, 0.143039889362522)	(56, 0.14802401679458077)	(58, 0.16617903087245678)	(60, 0.21313489129780488)	(62, 0.23187866177295058)	(64, 0.24089018749150493)	(66, 0.24667877948362613)	(68, 0.2520258041777951)	(70, 0.25729669657921367)	(72, 0.2620575026192047)	(74, 0.26711522460092213)	(76, 0.27183288900835456)	(78, 0.2763221565375358)	(80, 0.28077335792034186)	(82, 0.2851636534689476)	(84, 0.2898914688487467)	(86, 0.29476139784168)	(88, 0.29932933540670326)	(90, 0.30290501542287984)
SRR5482577_1 - illumina_universal_adapter	(1, 6.391528726824194e-05)	(2, 7.3748408386433e-05)	(3, 8.358152950462408e-05)	(4, 0.00011308089285919727)	(5, 0.00013766369565467495)	(6, 0.00016716305900924816)	(7, 0.00018191274068653476)	(8, 0.00021141210404110796)	(9, 0.00023599490683658562)	(10, 0.0003097433152230186)	(12, 0.00039086656444809495)	(14, 0.0004252824883617637)	(16, 0.00045478185171633686)	(18, 0.0004891977756300056)	(20, 0.0005457382220596043)	(22, 0.0005752375854141775)	(24, 0.0005826124262528207)	(26, 0.000589987267091464)	(28, 0.0006022786684892029)	(30, 0.0006366945924028716)	(32, 0.0007178178416279479)	(34, 0.0008702312189599095)	(36, 0.0011062261257964953)	(38, 0.0015167589324809722)	(40, 0.0022837423796998758)	(42, 0.003535007041989689)	(44, 0.005373800691091418)	(46, 0.007918120780423357)	(48, 0.011521959670240384)	(50, 0.01737266673556407)	(52, 0.02577261045077879)	(54, 0.0366013350821867)	(56, 0.04998667120432429)	(58, 0.06665135321937861)	(60, 0.08988947670194364)	(62, 0.12131859007596185)	(64, 0.16332568349287407)	(66, 0.2133787282647462)	(68, 0.27205296197699225)	(70, 0.3414305480263894)	(72, 0.4297590167508202)	(74, 0.5431570277660791)	(76, 0.6767153953539093)	(78, 0.824175337922582)	(80, 0.9855294806312589)	(82, 1.1731896806113764)	(84, 1.4015516271799662)	(86, 1.6723606993355071)	(88, 1.9631506736032125)	(90, 2.1935628259249453)
SRR5482577_1 - polya	(1, 0.0032744293323576255)	(2, 0.0037267529037944146)	(3, 0.004090578385167484)	(4, 0.0044740701087769355)	(5, 0.004950976483009202)	(6, 0.005737626172464488)	(7, 0.006735687965960881)	(8, 0.00834340326878512)	(9, 0.010275611568509665)	(10, 0.013323879115148898)	(12, 0.016010779460694607)	(14, 0.01875176197239037)	(16, 0.022306435256616436)	(18, 0.026930460462445786)	(20, 0.032051058284743784)	(22, 0.03526648889039226)	(24, 0.038737580645113706)	(26, 0.041040989267049965)	(28, 0.04354597687190914)	(30, 0.04716948200396255)	(32, 0.049912922795937856)	(34, 0.05260719798232221)	(36, 0.05457873876651952)	(38, 0.056191370629902856)	(40, 0.057629464593438304)	(42, 0.059362552190519474)	(44, 0.06140292482254412)	(46, 0.06345313057568697)	(48, 0.06584503728768692)	(50, 0.06776987074657284)	(52, 0.07146466600673312)	(54, 0.07450801699281326)	(56, 0.07617718930262621)	(58, 0.0782151036543713)	(60, 0.08014239539353675)	(62, 0.08255151006749356)	(64, 0.10503739978451698)	(66, 0.10892639918676156)	(68, 0.1127981906270493)	(70, 0.11523188810380158)	(72, 0.11714934672184883)	(74, 0.11858989896566383)	(76, 0.11990999547578096)	(78, 0.12119567606198445)	(80, 0.12303201143080664)	(82, 0.1252887127274315)	(84, 0.12779370033229065)	(86, 0.12978982391928345)	(88, 0.13192115292165135)	(90, 0.1336566987990121)
