Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5482575_1	(1, 0.0)	(2, 0.061977137233967645)	(3, 0.0)	(4, 0.0)	(5, 3.105956190132972e-05)	(6, 0.004494762315149572)	(7, 0.00029728437819844157)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.2185401358092655e-06)	(36, 0.0010072172216574065)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 7.321182448170577e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0004104299251247141)	(60, 0.0005590721142239349)	(62, 0.000141986568691793)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0004747675890631828)	(80, 0.0)	(82, 3.7715182308757514e-05)	(84, 0.00015751634964245785)	(86, 6.655620407427796e-06)	(88, 9.539722583979842e-05)	(90, 0.0)	(92, 0.00108708466654654)	(94, 0.00045923780811251796)	(96, 0.003815889033591937)	(98, 0.01063346287093381)	(100, 0.003290095021405141)
SRR5482575_2	(1, 1.3311240814855592e-05)	(2, 0.0038824452376662144)	(3, 0.003208009036380198)	(4, 0.007161447558392309)	(5, 0.011549719947023036)	(6, 0.03445392830911789)	(7, 0.03051380102792064)	(8, 0.029763934462017104)	(9, 0.03216883196923435)	(10, 0.027354599874528242)	(12, 0.0493248028394474)	(14, 0.06966437880454675)	(16, 0.049380266342842635)	(18, 0.08331283772004536)	(20, 0.0777198980376702)	(22, 0.04402471045499906)	(24, 0.015303489856812316)	(26, 0.015094947084046243)	(28, 0.01594464795606119)	(30, 0.009805947400276953)	(32, 0.013191439647521893)	(34, 0.018172062252413693)	(36, 0.029426716361374096)	(38, 0.05082453597125446)	(40, 0.044976464173261246)	(42, 0.07315192389803891)	(44, 0.07996284211497336)	(46, 0.05885343272274819)	(48, 0.06460832583503742)	(50, 0.07304987105179168)	(52, 0.06853736041555564)	(54, 0.05375744603079431)	(56, 0.07375980389525065)	(58, 0.08894127404459345)	(60, 0.1079142292860343)	(62, 0.10754373308335413)	(64, 0.1290125459775804)	(66, 0.10066404012220961)	(68, 0.11485160429070987)	(70, 0.11456541261319048)	(72, 0.10903681059475379)	(74, 0.11554157027294655)	(76, 0.10770124943299661)	(78, 0.10752154768199605)	(80, 0.10270065996688252)	(82, 0.08400502224241785)	(84, 0.12748397182400784)	(86, 0.10647217819775828)	(88, 0.10335512930694625)	(90, 0.10493472988364246)	(92, 0.10386317499804656)	(94, 0.1126352826950364)	(96, 0.09009047783494266)	(98, 0.060550615926642286)	(100, 0.06606368816412832)
SRR5482576_1	(1, 0.0)	(2, 0.06384961618665932)	(3, 0.0)	(4, 0.0)	(5, 5.5830348016951715e-05)	(6, 0.004598390482123478)	(7, 0.0002893027124514771)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.5377430916796237e-06)	(36, 0.0009668801179299366)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 9.135875130046645e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.00047455795814408964)	(60, 0.0006445867452866245)	(62, 0.00012688715458398117)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0004263408394021767)	(80, 0.0)	(82, 2.2839687825116612e-05)	(84, 0.00019540621805933103)	(86, 1.5226458550077742e-05)	(88, 9.643423748382569e-05)	(90, 0.0)	(92, 0.001025248209038568)	(94, 0.00037304823447690465)	(96, 0.003903048875003261)	(98, 0.010696587131429614)	(100, 0.003202631781699685)
SRR5482576_2	(1, 5.075486183359247e-06)	(2, 0.0037507842895024832)	(3, 0.0030706691409323446)	(4, 0.006907736695551936)	(5, 0.011470598774391898)	(6, 0.034899042996778186)	(7, 0.030595030713289544)	(8, 0.030498596475805717)	(9, 0.03300588665038518)	(10, 0.02804967439233488)	(12, 0.05077770152141759)	(14, 0.07159734584555721)	(16, 0.050430030717857476)	(18, 0.08506007294691763)	(20, 0.07894664983906141)	(22, 0.044796241054328716)	(24, 0.015312741815194847)	(26, 0.01510464688167712)	(28, 0.016124819604532326)	(30, 0.009744933472049754)	(32, 0.013285085084942829)	(34, 0.018327580608110242)	(36, 0.029229724929965905)	(38, 0.051026400344402194)	(40, 0.04512360991315539)	(42, 0.07437109904476305)	(44, 0.08091340073511312)	(46, 0.059225848273619056)	(48, 0.0660320752455038)	(50, 0.07396252240700263)	(52, 0.06932606577850396)	(54, 0.054822864009554904)	(56, 0.07495985544203272)	(58, 0.09019138947829382)	(60, 0.11062022136631479)	(62, 0.1097979926046106)	(64, 0.13141956374572097)	(66, 0.102760831011383)	(68, 0.11680977676692139)	(70, 0.1167209557587126)	(72, 0.11134094040435179)	(74, 0.11754826000660017)	(76, 0.1096990206240351)	(78, 0.10962035058819301)	(80, 0.10412359905161495)	(82, 0.08575795229712951)	(84, 0.12985631400124634)	(86, 0.10853419654495414)	(88, 0.10476057256762654)	(90, 0.1068339086735288)	(92, 0.10581881143685694)	(94, 0.11459686479097675)	(96, 0.09173687502112671)	(98, 0.06173821393438188)	(100, 0.06700656859270877)
SRR5482577_1	(1, 0.0)	(2, 0.06397428599495109)	(3, 0.0)	(4, 0.0)	(5, 4.9165605590955334e-05)	(6, 0.004675649091699852)	(7, 0.0002507445885138722)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0010349359976896098)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 5.16238858705031e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.00044986529115724136)	(60, 0.0005826124262528207)	(62, 0.00013766369565467495)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0004375738897595025)	(80, 0.0)	(82, 3.687420419321651e-05)	(84, 0.00013274713509557943)	(86, 1.2291401397738833e-05)	(88, 0.00010078949146145843)	(90, 0.0)	(92, 0.0010496856793668964)	(94, 0.0004891977756300057)	(96, 0.0038939159628036627)	(98, 0.010809058389171532)	(100, 0.0033727605435395366)
SRR5482577_2	(1, 1.4749681677286601e-05)	(2, 0.003908665644480949)	(3, 0.0031908478028530017)	(4, 0.007153595613484002)	(5, 0.011716163812324657)	(6, 0.03520257360312402)	(7, 0.030782585660497137)	(8, 0.030640005404283365)	(9, 0.03347194428632239)	(10, 0.02810551843606962)	(12, 0.0504758689799543)	(14, 0.07146958256729223)	(16, 0.05074136325014546)	(18, 0.08457467473756138)	(20, 0.07836505875142372)	(22, 0.04493490522985363)	(24, 0.015587955252612392)	(26, 0.015452749837237262)	(28, 0.016165651118306115)	(30, 0.010012575578598054)	(32, 0.013500875295276337)	(34, 0.018722262609035794)	(36, 0.029450197748982245)	(38, 0.05102406548229345)	(40, 0.04519056637892659)	(42, 0.07378282431034668)	(44, 0.0805676778818985)	(46, 0.059055267155576005)	(48, 0.06554266881330256)	(50, 0.07376069978783074)	(52, 0.06951033318449265)	(54, 0.05423949608794193)	(56, 0.07469238801377935)	(58, 0.08963873211342978)	(60, 0.10956309377916443)	(62, 0.10927547498645733)	(64, 0.13105583826325054)	(66, 0.10213417077437106)	(68, 0.11658394225755285)	(70, 0.11638973811546856)	(72, 0.11097168837934529)	(74, 0.11721080372883753)	(76, 0.10913781129080265)	(78, 0.10927055842589824)	(80, 0.10373451123635666)	(82, 0.08504420627095499)	(84, 0.1293080009844921)	(86, 0.10835116160134736)	(88, 0.10496610965641011)	(90, 0.1064582857860956)	(92, 0.10544055775036283)	(94, 0.11407403809213458)	(96, 0.09189543341005461)	(98, 0.061506172594285126)	(100, 0.06692668061068796)
SRR5482578_1	(1, 0.0)	(2, 0.0644573802878329)	(3, 0.0)	(4, 0.0)	(5, 1.8790869554065418e-05)	(6, 0.0045473904320838315)	(7, 0.0002724676085339486)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.3488586942581773e-06)	(36, 0.0009559854885630782)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 7.751233691051985e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.00040635255410666465)	(60, 0.0005308420649023482)	(62, 0.0001244895107956834)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.00041809684757795554)	(80, 0.0)	(82, 2.818630433109813e-05)	(84, 0.00015972239120955607)	(86, 1.1744293471290886e-05)	(88, 8.925663038181074e-05)	(90, 0.0)	(92, 0.0009371946190090128)	(94, 0.0004603763040746027)	(96, 0.003645428693488691)	(98, 0.010457118906837407)	(100, 0.0033142396175982886)
SRR5482578_2	(1, 1.4093152165549065e-05)	(2, 0.003931989454188189)	(3, 0.003161563802471507)	(4, 0.00702308749583195)	(5, 0.011349685210655512)	(6, 0.03425105747967275)	(7, 0.030121763895166864)	(8, 0.029863389438798467)	(9, 0.03205252574184709)	(10, 0.0272444119947006)	(12, 0.04890558687314951)	(14, 0.06893195610039472)	(16, 0.048762306492799765)	(18, 0.0822781712011697)	(20, 0.07692747109564957)	(22, 0.04404110051734082)	(24, 0.015340396132200156)	(26, 0.015227650914875764)	(28, 0.015988681131815414)	(30, 0.009775949885502535)	(32, 0.013141864394374501)	(34, 0.01832344667390804)	(36, 0.029097661504470303)	(38, 0.05018336600282596)	(40, 0.04445449964753027)	(42, 0.07273240946770447)	(44, 0.07912600283347522)	(46, 0.05796513485690331)	(48, 0.06418961039668747)	(50, 0.07271126973945614)	(52, 0.06808871582915604)	(54, 0.053800608391983556)	(56, 0.07322332093480442)	(58, 0.08811978277378978)	(60, 0.1071126541755614)	(62, 0.10723244596896858)	(64, 0.12827117329343907)	(66, 0.100176474451417)	(68, 0.11468772346454402)	(70, 0.11418741656266704)	(72, 0.10821661776186275)	(74, 0.11490146960572152)	(76, 0.10678381395836525)	(78, 0.10711500303425567)	(80, 0.1018676527112829)	(82, 0.08354655489606912)	(84, 0.1265118781314397)	(86, 0.10550368596999454)	(88, 0.10250654227612112)	(90, 0.10414134792732482)	(92, 0.10295517428672443)	(94, 0.11169292862936485)	(96, 0.089904915381426)	(98, 0.060034479366544755)	(100, 0.06582911376527968)
SRR5482579_1	(1, 0.0)	(2, 0.06455751715102584)	(3, 0.0)	(4, 0.0)	(5, 7.080227807745759e-05)	(6, 0.004427502455777015)	(7, 0.00016048516364223722)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 2.360075935915253e-06)	(36, 0.0010832748545851012)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 6.608212620562708e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.00039885283316967783)	(60, 0.0005900189839788132)	(62, 0.00013924448021899994)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0005074163262217794)	(80, 0.0)	(82, 2.8320911230983037e-05)	(84, 0.00019352622674505076)	(86, 9.440303743661012e-06)	(88, 8.024258182111861e-05)	(90, 0.0)	(92, 0.0010691143989696097)	(94, 0.0004696551112471354)	(96, 0.0038044424086953886)	(98, 0.0108775899886334)	(100, 0.0032356641081398123)
SRR5482579_2	(1, 1.4160455615491519e-05)	(2, 0.003813882712439049)	(3, 0.00307281886856166)	(4, 0.006853660517897896)	(5, 0.011385006314855181)	(6, 0.034631754283620426)	(7, 0.03065266625566731)	(8, 0.030350576535870158)	(9, 0.03316378705148114)	(10, 0.027919698321877448)	(12, 0.05080063452057583)	(14, 0.0712341719737301)	(16, 0.050224775992212506)	(18, 0.0851161386287836)	(20, 0.07905782370128915)	(22, 0.04477300058024827)	(24, 0.015552900417681518)	(26, 0.015536379886130113)	(28, 0.016305764641238483)	(30, 0.009997281664537012)	(32, 0.013350949569472588)	(34, 0.018821605588924144)	(36, 0.0295221898823639)	(38, 0.05139301358049055)	(40, 0.045641508524665086)	(42, 0.07410874446367487)	(44, 0.08107096847462487)	(46, 0.05950223449629537)	(48, 0.06589332013075387)	(50, 0.07457367942305018)	(52, 0.07001873286673374)	(54, 0.05494964801591484)	(56, 0.07500085316745084)	(58, 0.08996609467708946)	(60, 0.10944852152806987)	(62, 0.1089104242146812)	(64, 0.1307128057106663)	(66, 0.10185379716629457)	(68, 0.11625262045131354)	(70, 0.11579240564381008)	(72, 0.11026982795376838)	(74, 0.11731465462247541)	(76, 0.10916531241576004)	(78, 0.108693297228577)	(80, 0.1040392274829521)	(82, 0.08526246333681035)	(84, 0.1291504354410904)	(86, 0.10818116075048338)	(88, 0.10503753960384427)	(90, 0.10647246577288073)	(92, 0.1058612061054787)	(94, 0.11446840304376162)	(96, 0.09151430449104986)	(98, 0.0617207058760557)	(100, 0.0675689740452537)
