Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5482575_1	(1, 32.20159000109285)	(2, 32.3483654217802)	(3, 32.41495716686745)	(4, 35.85280767125033)	(5, 35.83293749400717)	(6, 35.77219351012229)	(7, 35.75937465210517)	(8, 35.7799074185453)	(9, 37.47668516204417)	(10, 37.42339891175282)	(12, 37.386444866193855)	(14, 38.63668729716719)	(16, 38.62241203410713)	(18, 38.70608908956127)	(20, 38.73883305587531)	(22, 38.69724033130259)	(24, 38.67272348830117)	(26, 38.57308081968668)	(28, 38.516340879224316)	(30, 38.42482092942367)	(32, 38.30326343260605)	(34, 38.25585580341037)	(36, 38.14811626197462)	(38, 38.080287347980644)	(40, 38.06886679144032)	(42, 38.053392740217866)	(44, 37.99273893998951)	(46, 37.950667631938686)	(48, 37.85686085533685)	(50, 37.69112916282989)	(52, 37.55924081201586)	(54, 37.36442115204086)	(56, 37.15082321372133)	(58, 36.89393217292739)	(60, 36.651572991545635)	(62, 36.458105398670995)	(64, 36.187953655406496)	(66, 35.84636241281858)	(68, 35.444387898786474)	(70, 35.02515010309778)	(72, 34.647745432990924)	(74, 34.14250031603105)	(76, 31.93986542690503)	(78, 33.13970080678987)	(80, 33.07081125312775)	(82, 32.835482647621774)	(84, 32.631028466842785)	(86, 32.41905851546032)	(88, 32.201607594116126)	(90, 31.979104102910448)	(92, 31.782647914618863)	(94, 31.54637230307051)	(96, 31.12850128340328)	(98, 30.73248747645186)	(100, 28.796567101987133)
SRR5482575_2	(1, 31.664969158076886)	(2, 31.813536404890318)	(3, 31.879993129624907)	(4, 35.42721282628569)	(5, 35.41645015563724)	(6, 35.42823468587224)	(7, 35.43486408313527)	(8, 35.42618630776485)	(9, 37.05229937708274)	(10, 37.03871345881367)	(12, 36.95955548087456)	(14, 38.23168361061905)	(16, 38.222501405777955)	(18, 38.18474258478473)	(20, 38.18718863621146)	(22, 38.230285841591886)	(24, 38.24828882890055)	(26, 38.220199537274645)	(28, 38.15622853146442)	(30, 38.104597445226794)	(32, 38.01730166240093)	(34, 37.93433491694208)	(36, 37.861876597432094)	(38, 37.781557879293935)	(40, 37.752387426503645)	(42, 37.67813603848511)	(44, 37.580295356910526)	(46, 37.537725964413816)	(48, 37.480888807522696)	(50, 36.41421155989861)	(52, 36.5792641350846)	(54, 37.06090185520094)	(56, 37.057633657170676)	(58, 36.84905942550548)	(60, 36.59256179843383)	(62, 36.33675187443347)	(64, 36.00563684459166)	(66, 35.66927683090238)	(68, 35.3151109028247)	(70, 34.91872109769106)	(72, 34.4859675339724)	(74, 34.073124414000354)	(76, 33.681646434541996)	(78, 33.30696346947376)	(80, 32.98201416200659)	(82, 32.69407092486457)	(84, 32.39623149010954)	(86, 32.19639992611374)	(88, 31.992915469228116)	(90, 31.803403910567454)	(92, 31.649043012745558)	(94, 31.48729870242468)	(96, 31.289150012048893)	(98, 31.034749060703383)	(100, 29.66319270643394)
SRR5482576_1	(1, 32.23203681392243)	(2, 32.37150340874727)	(3, 32.442357906435035)	(4, 35.86894754616992)	(5, 35.84566664633088)	(6, 35.78691429016331)	(7, 35.77703617593381)	(8, 35.798607956555465)	(9, 37.49463906847369)	(10, 37.44264023035399)	(12, 37.40400981680236)	(14, 38.66149004296196)	(16, 38.646157379863496)	(18, 38.7344657132129)	(20, 38.76688560960599)	(22, 38.729817100794996)	(24, 38.70390354627265)	(26, 38.60268264314673)	(28, 38.54544970990044)	(30, 38.45109799515251)	(32, 38.32913715821295)	(34, 38.281962138294205)	(36, 38.17155518885732)	(38, 38.09329459248566)	(40, 38.07544174747771)	(42, 38.05386034880974)	(44, 37.98911328515614)	(46, 37.93693426727693)	(48, 37.83775249148003)	(50, 37.654787305153356)	(52, 37.51289607444642)	(54, 37.30285174819538)	(56, 37.071951970065186)	(58, 36.79832659697889)	(60, 36.54219693231525)	(62, 36.333080607957974)	(64, 36.05563329226588)	(66, 35.70836700495459)	(68, 35.29575340161622)	(70, 34.87776062037871)	(72, 34.49730517061094)	(74, 33.99957705973634)	(76, 31.83026059170221)	(78, 33.02683447611288)	(80, 32.968006926617505)	(82, 32.74911851493711)	(84, 32.56369367187368)	(86, 32.37077538100914)	(88, 32.170582116646244)	(90, 31.954541382621315)	(92, 31.75631398094439)	(94, 31.524211769382497)	(96, 31.103927609152645)	(98, 30.708711351314697)	(100, 28.77462151338208)
SRR5482576_2	(1, 31.67580580702616)	(2, 31.81778025032907)	(3, 31.889846977136862)	(4, 35.428452241654455)	(5, 35.41619951045921)	(6, 35.42550536362153)	(7, 35.428760323665784)	(8, 35.42137554202386)	(9, 37.05263395908326)	(10, 37.03889857686413)	(12, 36.962744002729394)	(14, 38.244861933072)	(16, 38.23353266121038)	(18, 38.19416680971079)	(20, 38.19669744712181)	(22, 38.24086232307236)	(24, 38.25437055190735)	(26, 38.22296187000401)	(28, 38.15690845233911)	(30, 38.10657310481599)	(32, 38.01876460534593)	(34, 37.93466443372344)	(36, 37.861470365302026)	(38, 37.781639591147254)	(40, 37.750043573048885)	(42, 37.66795453744912)	(44, 37.56691967626925)	(46, 37.518448250292124)	(48, 37.451558164107325)	(50, 36.37537699442498)	(52, 36.53766997930115)	(54, 37.001530385971435)	(56, 36.981408849394384)	(58, 36.758546560429295)	(60, 36.49218014768244)	(62, 36.22372210170198)	(64, 35.88107778050613)	(66, 35.53949591083305)	(68, 35.181140777440646)	(70, 34.78867170263173)	(72, 34.36079976669005)	(74, 33.95728052100475)	(76, 33.58230367791046)	(78, 33.21957289174709)	(80, 32.914122646890405)	(82, 32.64191787700939)	(84, 32.35304414465014)	(86, 32.16420093626479)	(88, 31.969830980219513)	(90, 31.780906081884037)	(92, 31.63135000420758)	(94, 31.472721875639827)	(96, 31.27359684885395)	(98, 31.018659644291656)	(100, 29.644203216173178)
SRR5482577_1	(1, 32.2278651772897)	(2, 32.37129393352476)	(3, 32.436399765932386)	(4, 35.872360089682)	(5, 35.85519524596127)	(6, 35.79404822811583)	(7, 35.78010264991798)	(8, 35.80087649491711)	(9, 37.494151997042984)	(10, 37.44279419542994)	(12, 37.39981352469111)	(14, 38.64852740161446)	(16, 38.634406056376626)	(18, 38.722936841568064)	(20, 38.754730837483976)	(22, 38.71887244386788)	(24, 38.69056544478009)	(26, 38.58632317575199)	(28, 38.52915419622052)	(30, 38.43731377912312)	(32, 38.30910657146501)	(34, 38.25972613676042)	(36, 38.137109648445275)	(38, 38.06509816257316)	(40, 38.04899374721661)	(42, 38.025596892576395)	(44, 37.952851364212805)	(46, 37.899979188199154)	(48, 37.793993998452855)	(50, 37.590615136457664)	(52, 37.434213101040925)	(54, 37.201535545110374)	(56, 36.953574959013096)	(58, 36.658652271436225)	(60, 36.39118218305319)	(62, 36.18071922102801)	(64, 35.89851287317801)	(66, 35.54370406887669)	(68, 35.12257491879563)	(70, 34.712940785632945)	(72, 34.33519285847946)	(74, 33.843364870447154)	(76, 31.682461674672957)	(78, 32.87804456783482)	(80, 32.83472848933465)	(82, 32.63267616454391)	(84, 32.463502625590834)	(86, 32.28640504140186)	(88, 32.095486267997195)	(90, 31.880858930012856)	(92, 31.67657301176012)	(94, 31.438666767423378)	(96, 31.00448026497508)	(98, 30.60190965603644)	(100, 28.636442962833456)
SRR5482577_2	(1, 31.6997171797704)	(2, 31.840435731162863)	(3, 31.907294759900257)	(4, 35.4616134126132)	(5, 35.451897846457975)	(6, 35.46304865497161)	(7, 35.46844890675851)	(8, 35.463660029277136)	(9, 37.09892714748728)	(10, 37.084134544236306)	(12, 37.004242450940836)	(14, 38.28056519993538)	(16, 38.27346868558998)	(18, 38.23439714756889)	(20, 38.233688277867486)	(22, 38.27517025803388)	(24, 38.28479191788243)	(26, 38.2519372231915)	(28, 38.18272913556737)	(30, 38.13456609042282)	(32, 38.04688198612527)	(34, 37.95703024402562)	(36, 37.87727613400223)	(38, 37.788784189639216)	(40, 37.75656527997698)	(42, 37.667036260912425)	(44, 37.55133594750136)	(46, 37.49628000736698)	(48, 37.41673300745714)	(50, 36.315377324881695)	(52, 36.46713753714339)	(54, 36.92990496485102)	(56, 36.90993726370395)	(58, 36.6784433205624)	(60, 36.39894916876202)	(62, 36.12075908548434)	(64, 35.78761493320705)	(66, 35.44775279258181)	(68, 35.09107906311202)	(70, 34.7094562962507)	(72, 34.282623935921094)	(74, 33.893685204033815)	(76, 33.53335269310996)	(78, 33.1780686294822)	(80, 32.87724432385542)	(82, 32.60698030160346)	(84, 32.31393512559009)	(86, 32.122942677525444)	(88, 31.917724603973504)	(90, 31.71946515982608)	(92, 31.560035408085835)	(94, 31.39003330576454)	(96, 31.169612636976606)	(98, 30.89814091078891)	(100, 29.46515616323807)
SRR5482578_1	(1, 32.23175751848528)	(2, 32.36584972734918)	(3, 32.441471139056475)	(4, 35.872059358102014)	(5, 35.85067309364514)	(6, 35.79373116861263)	(7, 35.7842652210976)	(8, 35.80692226508524)	(9, 37.500946918894)	(10, 37.4497680126222)	(12, 37.41139743281019)	(14, 38.6698395128204)	(16, 38.65655995832937)	(18, 38.74385226167376)	(20, 38.77658652016302)	(22, 38.74281838803089)	(24, 38.710640949983684)	(26, 38.609273651151454)	(28, 38.552193307876095)	(30, 38.46067355214236)	(32, 38.340061372859054)	(34, 38.29114998430492)	(36, 38.17820593609207)	(38, 38.10821765125969)	(40, 38.10124222210676)	(42, 38.08400397163819)	(44, 38.01865393109219)	(46, 37.97424826421691)	(48, 37.871078004939555)	(50, 37.686829301016296)	(52, 37.548979834296475)	(54, 37.332646589687364)	(56, 37.0998811289592)	(58, 36.83039220208979)	(60, 36.57844758197682)	(62, 36.377343162711924)	(64, 36.101581138927756)	(66, 35.74682253442417)	(68, 35.342185398799096)	(70, 34.9351221740059)	(72, 34.55466477699419)	(74, 34.05436431099002)	(76, 31.869827378616385)	(78, 33.06394847656314)	(80, 33.012515282849094)	(82, 32.79889391304544)	(84, 32.61452917550268)	(86, 32.42026907209841)	(88, 32.21630503481619)	(90, 31.997021388801222)	(92, 31.798634904397225)	(94, 31.569673772653214)	(96, 31.14671798202597)	(98, 30.750672807084385)	(100, 28.815499193073087)
SRR5482578_2	(1, 31.754668239211902)	(2, 31.89420712254757)	(3, 31.965707179812743)	(4, 35.52528100101217)	(5, 35.51792418767306)	(6, 35.531229814495596)	(7, 35.53684499609009)	(8, 35.53285682193594)	(9, 37.17521663758623)	(10, 37.15897550112196)	(12, 37.07937004925181)	(14, 38.363085801835055)	(16, 38.35784967905664)	(18, 38.31574037388381)	(20, 38.32116414698331)	(22, 38.36217240115462)	(24, 38.37550372449128)	(26, 38.34636822287324)	(28, 38.28143872198787)	(30, 38.230462945015944)	(32, 38.14536821037731)	(34, 38.06156788478792)	(36, 37.9836162643244)	(38, 37.904140093636784)	(40, 37.87505314292795)	(42, 37.791990993160404)	(44, 37.68603353117926)	(46, 37.64311574884387)	(48, 37.57566324488064)	(50, 36.495719228518304)	(52, 36.65884755878888)	(54, 37.132602139885435)	(56, 37.125436500155445)	(58, 36.909420022629845)	(60, 36.6438021323315)	(62, 36.385462251163084)	(64, 36.05130715395651)	(66, 35.71527301677169)	(68, 35.36148308159362)	(70, 34.9718117226276)	(72, 34.54238726911071)	(74, 34.13349475316643)	(76, 33.753792185384704)	(78, 33.38663954611782)	(80, 33.07365475929977)	(82, 32.79464952538491)	(84, 32.49561829806021)	(86, 32.30715794956662)	(88, 32.10318719454854)	(90, 31.90543997552677)	(92, 31.752722256760883)	(94, 31.591902032486217)	(96, 31.39236007402475)	(98, 31.13793083118499)	(100, 29.745047595863266)
SRR5482579_1	(1, 32.24039572998069)	(2, 32.3807411856238)	(3, 32.44613091275134)	(4, 35.883341257681636)	(5, 35.86420123064744)	(6, 35.80941357824376)	(7, 35.797920386048006)	(8, 35.81986762900494)	(9, 37.515423214245004)	(10, 37.46293257654824)	(12, 37.42324464278103)	(14, 38.683833796089154)	(16, 38.67261286225337)	(18, 38.75730513124406)	(20, 38.789269834514776)	(22, 38.753824845265164)	(24, 38.72091252430465)	(26, 38.62149154061461)	(28, 38.56463341719312)	(30, 38.47280175329097)	(32, 38.35729855135234)	(34, 38.30917646141448)	(36, 38.200143053642776)	(38, 38.130300807254535)	(40, 38.11998618977965)	(42, 38.10036317320517)	(44, 38.03530569756788)	(46, 37.991733550825344)	(48, 37.89174841458359)	(50, 37.71063503082425)	(52, 37.57460060788948)	(54, 37.36436837122522)	(56, 37.13311637784608)	(58, 36.8663141830321)	(60, 36.61286586428176)	(62, 36.41042447428954)	(64, 36.13335186622297)	(66, 35.777627697926704)	(68, 35.37217446398782)	(70, 34.96476071496896)	(72, 34.587813445815186)	(74, 34.08876101630345)	(76, 31.907669345242716)	(78, 33.098818692311184)	(80, 33.045625601612855)	(82, 32.8279296012005)	(84, 32.6400649134166)	(86, 32.442962581609656)	(88, 32.23983735961501)	(90, 32.021032689931005)	(92, 31.822355739060377)	(94, 31.59441257214339)	(96, 31.179018202746477)	(98, 30.791209769732582)	(100, 28.862533718994914)
SRR5482579_2	(1, 31.745630260402756)	(2, 31.886343321473635)	(3, 31.95342951838544)	(4, 35.51091834850005)	(5, 35.5065713718352)	(6, 35.51950746725666)	(7, 35.52376254256456)	(8, 35.519038378563636)	(9, 37.16160261239637)	(10, 37.14496027732592)	(12, 37.063938799643665)	(14, 38.34646901250977)	(16, 38.34189081920549)	(18, 38.304754859148545)	(20, 38.305739978444954)	(22, 38.34900460729304)	(24, 38.36049843670931)	(26, 38.33118756802624)	(28, 38.2665413828223)	(30, 38.2150773545569)	(32, 38.129860228278815)	(34, 38.04873523766602)	(36, 37.97268351348659)	(38, 37.891163068549965)	(40, 37.86167191366616)	(42, 37.780669056983044)	(44, 37.67817931375505)	(46, 37.63623255130958)	(48, 37.571720347616534)	(50, 36.497006857295034)	(52, 36.66163643228454)	(54, 37.14002365928924)	(56, 37.13448621312081)	(58, 36.92301557381069)	(60, 36.660916184310416)	(62, 36.40211438731083)	(64, 36.06631136038128)	(66, 35.728014063598096)	(68, 35.369706603383904)	(70, 34.97731079637033)	(72, 34.54569940118738)	(74, 34.133154634677)	(76, 33.748901774064365)	(78, 33.378930016149056)	(80, 33.06258980383946)	(82, 32.78254029039035)	(84, 32.485894534153815)	(86, 32.29440146562604)	(88, 32.09097224225009)	(90, 31.897869719937813)	(92, 31.743745904973242)	(94, 31.58391891930801)	(96, 31.38520491524519)	(98, 31.13362462019888)	(100, 29.747494861996685)
