Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5482575_1	(0.0, 758.0)	(1.0, 504.5)	(2.0, 248.0)	(3.0, 280.0)	(4.0, 384.5)	(5.0, 649.5)	(6.0, 691.0)	(7.0, 538.5)	(8.0, 494.5)	(9.0, 497.0)	(10.0, 632.0)	(11.0, 789.5)	(12.0, 828.5)	(13.0, 937.0)	(14.0, 1436.0)	(15.0, 2230.0)	(16.0, 3579.0)	(17.0, 5293.5)	(18.0, 9338.5)	(19.0, 14492.5)	(20.0, 17709.5)	(21.0, 23125.0)	(22.0, 29970.0)	(23.0, 38047.0)	(24.0, 50683.0)	(25.0, 70405.5)	(26.0, 96054.0)	(27.0, 121063.0)	(28.0, 150550.5)	(29.0, 194127.0)	(30.0, 258895.0)	(31.0, 341911.5)	(32.0, 441116.0)	(33.0, 551154.5)	(34.0, 665223.5)	(35.0, 805545.5)	(36.0, 958864.0)	(37.0, 1097586.5)	(38.0, 1220826.0)	(39.0, 1314830.0)	(40.0, 1372758.5)	(41.0, 1420596.5)	(42.0, 1443821.0)	(43.0, 1425759.5)	(44.0, 1361323.0)	(45.0, 1263463.5)	(46.0, 1147807.5)	(47.0, 1004474.0)	(48.0, 836724.0)	(49.0, 675797.5)	(50.0, 549573.5)	(51.0, 418487.0)	(52.0, 308882.5)	(53.0, 232024.0)	(54.0, 164220.5)	(55.0, 121011.5)	(56.0, 84709.5)	(57.0, 52920.0)	(58.0, 40904.5)	(59.0, 34068.0)	(60.0, 21966.0)	(61.0, 19336.5)	(62.0, 19274.0)	(63.0, 11315.0)	(64.0, 4701.5)	(65.0, 2383.5)	(66.0, 1949.0)	(67.0, 1353.5)	(68.0, 817.5)	(69.0, 586.5)	(70.0, 446.0)	(71.0, 373.5)	(72.0, 301.5)	(73.0, 218.0)	(74.0, 180.5)	(75.0, 176.5)	(76.0, 153.0)	(77.0, 106.5)	(78.0, 80.0)	(79.0, 68.5)	(80.0, 57.5)	(81.0, 49.0)	(82.0, 42.0)	(83.0, 32.0)	(84.0, 28.0)	(85.0, 24.0)	(86.0, 15.5)	(87.0, 15.0)	(88.0, 13.5)	(89.0, 8.0)	(90.0, 5.5)	(91.0, 6.0)	(92.0, 6.5)	(93.0, 5.5)	(94.0, 2.5)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 1.5)	(98.0, 1.5)	(99.0, 1.5)	(100.0, 2.0)
SRR5482575_2	(0.0, 382.0)	(1.0, 527.0)	(2.0, 804.5)	(3.0, 1274.0)	(4.0, 1900.0)	(5.0, 1978.0)	(6.0, 1707.5)	(7.0, 1968.0)	(8.0, 2258.0)	(9.0, 2275.5)	(10.0, 2225.5)	(11.0, 2248.0)	(12.0, 2419.0)	(13.0, 2519.0)	(14.0, 2886.0)	(15.0, 3343.5)	(16.0, 3853.0)	(17.0, 4335.0)	(18.0, 4443.5)	(19.0, 5512.0)	(20.0, 7942.5)	(21.0, 10644.0)	(22.0, 15252.5)	(23.0, 22765.0)	(24.0, 35699.5)	(25.0, 54720.0)	(26.0, 84521.5)	(27.0, 125752.5)	(28.0, 164307.5)	(29.0, 220064.0)	(30.0, 306454.0)	(31.0, 417582.5)	(32.0, 533985.0)	(33.0, 649809.5)	(34.0, 795021.5)	(35.0, 961184.0)	(36.0, 1131449.0)	(37.0, 1254759.5)	(38.0, 1342860.5)	(39.0, 1426492.5)	(40.0, 1451945.5)	(41.0, 1439717.0)	(42.0, 1410914.0)	(43.0, 1355463.0)	(44.0, 1274777.0)	(45.0, 1157417.5)	(46.0, 1011464.0)	(47.0, 856961.5)	(48.0, 697820.0)	(49.0, 554922.5)	(50.0, 443529.0)	(51.0, 340670.0)	(52.0, 247804.5)	(53.0, 181947.5)	(54.0, 139275.0)	(55.0, 110607.0)	(56.0, 80084.5)	(57.0, 49765.5)	(58.0, 34785.0)	(59.0, 26054.0)	(60.0, 18174.5)	(61.0, 12925.5)	(62.0, 8565.5)	(63.0, 5480.0)	(64.0, 3735.5)	(65.0, 2421.0)	(66.0, 1866.0)	(67.0, 1440.5)	(68.0, 1110.5)	(69.0, 897.0)	(70.0, 739.0)	(71.0, 602.5)	(72.0, 496.0)	(73.0, 413.5)	(74.0, 353.0)	(75.0, 340.5)	(76.0, 316.5)	(77.0, 235.0)	(78.0, 192.5)	(79.0, 182.0)	(80.0, 166.0)	(81.0, 152.5)	(82.0, 129.0)	(83.0, 101.0)	(84.0, 86.5)	(85.0, 75.5)	(86.0, 63.5)	(87.0, 54.0)	(88.0, 42.5)	(89.0, 26.5)	(90.0, 22.0)	(91.0, 21.0)	(92.0, 14.5)	(93.0, 11.0)	(94.0, 8.5)	(95.0, 5.0)	(96.0, 3.5)	(97.0, 3.5)	(98.0, 3.5)	(99.0, 3.5)	(100.0, 3.0)
SRR5482576_1	(0.0, 177.0)	(1.0, 124.0)	(2.0, 74.5)	(3.0, 101.0)	(4.0, 163.0)	(5.0, 372.5)	(6.0, 438.5)	(7.0, 338.5)	(8.0, 361.5)	(9.0, 384.0)	(10.0, 370.0)	(11.0, 365.0)	(12.0, 406.5)	(13.0, 541.5)	(14.0, 788.5)	(15.0, 1349.5)	(16.0, 2555.5)	(17.0, 4533.5)	(18.0, 9054.0)	(19.0, 13996.0)	(20.0, 16233.0)	(21.0, 21205.0)	(22.0, 27030.0)	(23.0, 32070.0)	(24.0, 44137.0)	(25.0, 69202.0)	(26.0, 97093.5)	(27.0, 112054.5)	(28.0, 126732.0)	(29.0, 157644.5)	(30.0, 208433.5)	(31.0, 276992.0)	(32.0, 356909.0)	(33.0, 445766.5)	(34.0, 525879.5)	(35.0, 621056.0)	(36.0, 743583.5)	(37.0, 852629.0)	(38.0, 946474.0)	(39.0, 1033693.5)	(40.0, 1085083.0)	(41.0, 1130198.0)	(42.0, 1185547.0)	(43.0, 1214661.5)	(44.0, 1184813.0)	(45.0, 1155626.5)	(46.0, 1115506.0)	(47.0, 990762.0)	(48.0, 831293.5)	(49.0, 683080.5)	(50.0, 572315.0)	(51.0, 449050.5)	(52.0, 344572.0)	(53.0, 275271.5)	(54.0, 203486.0)	(55.0, 152590.5)	(56.0, 104304.5)	(57.0, 63525.0)	(58.0, 52216.5)	(59.0, 45239.0)	(60.0, 28360.0)	(61.0, 25899.5)	(62.0, 27110.5)	(63.0, 15336.0)	(64.0, 5574.0)	(65.0, 2311.5)	(66.0, 1734.0)	(67.0, 1232.0)	(68.0, 800.0)	(69.0, 584.0)	(70.0, 490.0)	(71.0, 428.5)	(72.0, 363.5)	(73.0, 277.0)	(74.0, 227.0)	(75.0, 207.0)	(76.0, 181.5)	(77.0, 161.0)	(78.0, 133.0)	(79.0, 119.5)	(80.0, 111.5)	(81.0, 90.5)	(82.0, 73.0)	(83.0, 55.5)	(84.0, 51.5)	(85.0, 46.0)	(86.0, 44.5)	(87.0, 42.0)	(88.0, 27.5)	(89.0, 20.0)	(90.0, 19.0)	(91.0, 16.5)	(92.0, 12.5)	(93.0, 8.0)	(94.0, 6.5)	(95.0, 4.0)	(96.0, 2.0)	(97.0, 1.5)	(98.0, 1.5)	(99.0, 5.5)	(100.0, 8.0)
SRR5482576_2	(0.0, 222.0)	(1.0, 341.0)	(2.0, 626.5)	(3.0, 929.0)	(4.0, 1251.5)	(5.0, 1313.5)	(6.0, 1216.5)	(7.0, 1440.5)	(8.0, 1603.0)	(9.0, 1631.5)	(10.0, 1744.5)	(11.0, 1776.0)	(12.0, 1810.5)	(13.0, 2026.5)	(14.0, 2345.5)	(15.0, 2707.5)	(16.0, 3112.5)	(17.0, 3602.5)	(18.0, 3867.0)	(19.0, 4497.0)	(20.0, 6836.5)	(21.0, 9843.5)	(22.0, 14575.5)	(23.0, 22589.0)	(24.0, 36154.5)	(25.0, 53378.5)	(26.0, 75137.5)	(27.0, 106341.5)	(28.0, 136220.0)	(29.0, 180785.5)	(30.0, 250326.5)	(31.0, 336778.5)	(32.0, 426342.5)	(33.0, 524656.0)	(34.0, 647190.5)	(35.0, 785040.5)	(36.0, 934478.0)	(37.0, 1022223.0)	(38.0, 1077904.0)	(39.0, 1147145.0)	(40.0, 1170410.0)	(41.0, 1170456.0)	(42.0, 1164358.5)	(43.0, 1149009.0)	(44.0, 1121527.0)	(45.0, 1065662.0)	(46.0, 968899.0)	(47.0, 841837.0)	(48.0, 701322.5)	(49.0, 571284.0)	(50.0, 472483.5)	(51.0, 374698.0)	(52.0, 276018.5)	(53.0, 207010.5)	(54.0, 163877.5)	(55.0, 137451.5)	(56.0, 103840.0)	(57.0, 62945.5)	(58.0, 43094.0)	(59.0, 32794.0)	(60.0, 22620.0)	(61.0, 15950.5)	(62.0, 10656.0)	(63.0, 6482.0)	(64.0, 4061.5)	(65.0, 2420.0)	(66.0, 1830.5)	(67.0, 1411.0)	(68.0, 1073.0)	(69.0, 859.0)	(70.0, 728.0)	(71.0, 597.0)	(72.0, 468.0)	(73.0, 387.0)	(74.0, 320.5)	(75.0, 264.0)	(76.0, 232.5)	(77.0, 204.5)	(78.0, 155.0)	(79.0, 130.0)	(80.0, 126.5)	(81.0, 108.0)	(82.0, 99.5)	(83.0, 88.0)	(84.0, 72.5)	(85.0, 59.5)	(86.0, 44.5)	(87.0, 40.5)	(88.0, 35.0)	(89.0, 28.0)	(90.0, 27.0)	(91.0, 21.5)	(92.0, 18.5)	(93.0, 14.0)	(94.0, 8.0)	(95.0, 6.5)	(96.0, 5.0)	(97.0, 3.5)	(98.0, 3.5)	(99.0, 3.0)	(100.0, 3.5)
SRR5482577_1	(0.0, 562.0)	(1.0, 407.0)	(2.0, 232.5)	(3.0, 245.0)	(4.0, 330.0)	(5.0, 634.0)	(6.0, 707.5)	(7.0, 509.0)	(8.0, 509.5)	(9.0, 503.0)	(10.0, 459.5)	(11.0, 501.0)	(12.0, 527.0)	(13.0, 595.5)	(14.0, 898.0)	(15.0, 1535.5)	(16.0, 3137.5)	(17.0, 5416.0)	(18.0, 9497.5)	(19.0, 14033.0)	(20.0, 14393.5)	(21.0, 15709.5)	(22.0, 20221.5)	(23.0, 23769.5)	(24.0, 31503.5)	(25.0, 48789.0)	(26.0, 68388.0)	(27.0, 83509.0)	(28.0, 97682.0)	(29.0, 124763.5)	(30.0, 177686.0)	(31.0, 250419.5)	(32.0, 319122.0)	(33.0, 393947.5)	(34.0, 475605.0)	(35.0, 572559.5)	(36.0, 705237.5)	(37.0, 822227.5)	(38.0, 907717.5)	(39.0, 989190.5)	(40.0, 1044920.0)	(41.0, 1098284.0)	(42.0, 1174791.5)	(43.0, 1223410.5)	(44.0, 1212322.5)	(45.0, 1237795.0)	(46.0, 1243656.0)	(47.0, 1110381.5)	(48.0, 922797.5)	(49.0, 756925.0)	(50.0, 639059.0)	(51.0, 515770.0)	(52.0, 427982.5)	(53.0, 360459.0)	(54.0, 276279.5)	(55.0, 230589.0)	(56.0, 165004.5)	(57.0, 103695.0)	(58.0, 98913.5)	(59.0, 91339.0)	(60.0, 57015.5)	(61.0, 53003.0)	(62.0, 57349.5)	(63.0, 32170.0)	(64.0, 10969.5)	(65.0, 3519.0)	(66.0, 2371.5)	(67.0, 1482.5)	(68.0, 879.0)	(69.0, 624.5)	(70.0, 483.0)	(71.0, 413.0)	(72.0, 306.5)	(73.0, 195.0)	(74.0, 152.5)	(75.0, 121.0)	(76.0, 99.0)	(77.0, 90.0)	(78.0, 72.5)	(79.0, 56.0)	(80.0, 50.0)	(81.0, 49.5)	(82.0, 43.5)	(83.0, 32.5)	(84.0, 28.0)	(85.0, 24.0)	(86.0, 14.5)	(87.0, 10.0)	(88.0, 6.0)	(89.0, 3.0)	(90.0, 3.0)	(91.0, 2.5)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 1.5)	(99.0, 1.5)	(100.0, 0.5)
SRR5482577_2	(0.0, 273.0)	(1.0, 462.0)	(2.0, 896.0)	(3.0, 1403.5)	(4.0, 1803.0)	(5.0, 1865.0)	(6.0, 1647.0)	(7.0, 1784.0)	(8.0, 2055.0)	(9.0, 2065.0)	(10.0, 2036.0)	(11.0, 2041.5)	(12.0, 2144.0)	(13.0, 2309.0)	(14.0, 2811.0)	(15.0, 3322.5)	(16.0, 3825.5)	(17.0, 4308.5)	(18.0, 4337.5)	(19.0, 4832.0)	(20.0, 7639.5)	(21.0, 11596.0)	(22.0, 16099.5)	(23.0, 24092.0)	(24.0, 39385.0)	(25.0, 57441.0)	(26.0, 74114.0)	(27.0, 98634.0)	(28.0, 124772.0)	(29.0, 168111.0)	(30.0, 235104.0)	(31.0, 311645.5)	(32.0, 395656.5)	(33.0, 497113.5)	(34.0, 614493.0)	(35.0, 748471.5)	(36.0, 886151.0)	(37.0, 966179.0)	(38.0, 1031432.5)	(39.0, 1093876.0)	(40.0, 1111779.0)	(41.0, 1129735.0)	(42.0, 1151615.0)	(43.0, 1157761.5)	(44.0, 1145908.0)	(45.0, 1125037.5)	(46.0, 1048341.0)	(47.0, 909885.5)	(48.0, 772637.0)	(49.0, 649840.0)	(50.0, 543682.0)	(51.0, 437963.5)	(52.0, 333051.0)	(53.0, 270298.0)	(54.0, 254237.0)	(55.0, 255194.5)	(56.0, 201074.0)	(57.0, 115902.5)	(58.0, 82451.0)	(59.0, 64263.0)	(60.0, 43792.0)	(61.0, 31137.0)	(62.0, 20188.5)	(63.0, 11305.5)	(64.0, 6767.0)	(65.0, 3701.0)	(66.0, 2677.0)	(67.0, 2077.0)	(68.0, 1607.0)	(69.0, 1322.5)	(70.0, 1149.0)	(71.0, 911.0)	(72.0, 709.5)	(73.0, 565.0)	(74.0, 469.5)	(75.0, 385.0)	(76.0, 317.0)	(77.0, 267.5)	(78.0, 208.0)	(79.0, 171.5)	(80.0, 143.5)	(81.0, 132.5)	(82.0, 119.5)	(83.0, 102.5)	(84.0, 84.5)	(85.0, 65.5)	(86.0, 58.5)	(87.0, 49.5)	(88.0, 41.5)	(89.0, 29.0)	(90.0, 20.5)	(91.0, 21.5)	(92.0, 22.0)	(93.0, 18.5)	(94.0, 11.0)	(95.0, 6.5)	(96.0, 3.5)	(97.0, 3.5)	(98.0, 5.5)	(99.0, 5.0)	(100.0, 3.0)
SRR5482578_1	(0.0, 115.0)	(1.0, 89.0)	(2.0, 76.5)	(3.0, 97.5)	(4.0, 160.0)	(5.0, 379.0)	(6.0, 469.5)	(7.0, 381.0)	(8.0, 378.5)	(9.0, 373.0)	(10.0, 379.5)	(11.0, 453.0)	(12.0, 479.0)	(13.0, 568.5)	(14.0, 911.0)	(15.0, 1479.5)	(16.0, 2658.5)	(17.0, 4737.5)	(18.0, 9947.0)	(19.0, 15516.0)	(20.0, 16859.5)	(21.0, 18998.5)	(22.0, 23662.5)	(23.0, 30089.0)	(24.0, 39596.0)	(25.0, 55472.0)	(26.0, 76351.5)	(27.0, 95337.5)	(28.0, 115484.5)	(29.0, 146819.5)	(30.0, 201239.0)	(31.0, 272325.0)	(32.0, 346014.5)	(33.0, 436638.5)	(34.0, 537448.5)	(35.0, 651311.0)	(36.0, 794126.0)	(37.0, 925704.0)	(38.0, 1034588.5)	(39.0, 1138598.5)	(40.0, 1210697.5)	(41.0, 1275511.0)	(42.0, 1357126.5)	(43.0, 1402331.5)	(44.0, 1385108.0)	(45.0, 1362040.0)	(46.0, 1289369.0)	(47.0, 1097977.5)	(48.0, 873916.0)	(49.0, 686359.0)	(50.0, 545487.5)	(51.0, 419276.0)	(52.0, 322330.5)	(53.0, 249407.0)	(54.0, 188777.5)	(55.0, 160130.0)	(56.0, 117083.5)	(57.0, 73929.5)	(58.0, 65901.0)	(59.0, 58895.5)	(60.0, 37432.0)	(61.0, 35433.0)	(62.0, 37918.0)	(63.0, 20908.0)	(64.0, 7275.0)	(65.0, 2962.0)	(66.0, 2163.0)	(67.0, 1511.0)	(68.0, 949.5)	(69.0, 622.5)	(70.0, 425.0)	(71.0, 338.5)	(72.0, 261.5)	(73.0, 182.0)	(74.0, 127.5)	(75.0, 94.0)	(76.0, 71.5)	(77.0, 56.5)	(78.0, 48.5)	(79.0, 42.5)	(80.0, 36.0)	(81.0, 37.0)	(82.0, 34.5)	(83.0, 27.0)	(84.0, 22.0)	(85.0, 16.0)	(86.0, 9.5)	(87.0, 6.5)	(88.0, 5.0)	(89.0, 3.0)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 1.5)	(93.0, 1.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
SRR5482578_2	(0.0, 203.0)	(1.0, 342.5)	(2.0, 668.0)	(3.0, 1019.5)	(4.0, 1340.5)	(5.0, 1417.5)	(6.0, 1304.5)	(7.0, 1449.5)	(8.0, 1643.0)	(9.0, 1714.5)	(10.0, 1781.0)	(11.0, 1817.5)	(12.0, 1890.0)	(13.0, 2080.0)	(14.0, 2442.0)	(15.0, 2812.0)	(16.0, 3300.0)	(17.0, 3798.0)	(18.0, 4055.5)	(19.0, 5515.0)	(20.0, 8832.0)	(21.0, 11482.0)	(22.0, 14724.5)	(23.0, 22170.5)	(24.0, 37773.5)	(25.0, 55123.0)	(26.0, 70617.5)	(27.0, 95687.0)	(28.0, 126070.0)	(29.0, 172170.0)	(30.0, 242106.5)	(31.0, 328050.0)	(32.0, 423854.5)	(33.0, 549067.0)	(34.0, 688864.0)	(35.0, 831936.0)	(36.0, 973469.5)	(37.0, 1073934.0)	(38.0, 1171698.5)	(39.0, 1263897.0)	(40.0, 1318473.5)	(41.0, 1352744.0)	(42.0, 1358683.5)	(43.0, 1331661.0)	(44.0, 1281484.5)	(45.0, 1213494.5)	(46.0, 1085145.0)	(47.0, 899136.5)	(48.0, 724135.0)	(49.0, 571376.5)	(50.0, 446287.5)	(51.0, 343437.5)	(52.0, 253456.0)	(53.0, 196750.5)	(54.0, 170764.0)	(55.0, 155087.0)	(56.0, 121321.5)	(57.0, 76471.5)	(58.0, 54480.5)	(59.0, 42906.5)	(60.0, 29633.0)	(61.0, 20526.5)	(62.0, 13290.5)	(63.0, 7731.5)	(64.0, 4586.0)	(65.0, 2551.5)	(66.0, 1939.5)	(67.0, 1478.0)	(68.0, 1121.0)	(69.0, 931.5)	(70.0, 760.5)	(71.0, 595.0)	(72.0, 455.5)	(73.0, 353.0)	(74.0, 289.0)	(75.0, 246.5)	(76.0, 209.5)	(77.0, 152.5)	(78.0, 123.5)	(79.0, 110.5)	(80.0, 87.0)	(81.0, 75.5)	(82.0, 68.0)	(83.0, 64.0)	(84.0, 51.0)	(85.0, 35.5)	(86.0, 31.5)	(87.0, 22.0)	(88.0, 17.0)	(89.0, 17.0)	(90.0, 13.5)	(91.0, 9.0)	(92.0, 8.0)	(93.0, 8.0)	(94.0, 6.0)	(95.0, 4.0)	(96.0, 4.0)	(97.0, 2.0)	(98.0, 2.5)	(99.0, 3.5)	(100.0, 3.0)
SRR5482579_1	(0.0, 734.0)	(1.0, 515.0)	(2.0, 298.0)	(3.0, 344.5)	(4.0, 439.0)	(5.0, 762.0)	(6.0, 861.0)	(7.0, 709.5)	(8.0, 798.0)	(9.0, 816.0)	(10.0, 749.5)	(11.0, 813.0)	(12.0, 855.5)	(13.0, 951.5)	(14.0, 1437.5)	(15.0, 2516.0)	(16.0, 4542.5)	(17.0, 7136.0)	(18.0, 12212.0)	(19.0, 18772.0)	(20.0, 22420.5)	(21.0, 25952.0)	(22.0, 31777.5)	(23.0, 40162.0)	(24.0, 51814.5)	(25.0, 69932.0)	(26.0, 92839.0)	(27.0, 112928.0)	(28.0, 133063.5)	(29.0, 162318.5)	(30.0, 213595.0)	(31.0, 280368.0)	(32.0, 349231.5)	(33.0, 433532.0)	(34.0, 521861.5)	(35.0, 623684.0)	(36.0, 757710.0)	(37.0, 880667.0)	(38.0, 985566.5)	(39.0, 1095139.0)	(40.0, 1182966.5)	(41.0, 1258364.5)	(42.0, 1336203.5)	(43.0, 1383814.5)	(44.0, 1372296.0)	(45.0, 1340516.0)	(46.0, 1267987.0)	(47.0, 1099591.5)	(48.0, 893877.5)	(49.0, 711989.5)	(50.0, 572442.0)	(51.0, 442564.0)	(52.0, 339657.5)	(53.0, 260836.5)	(54.0, 192324.5)	(55.0, 157316.0)	(56.0, 114330.5)	(57.0, 72148.0)	(58.0, 62169.0)	(59.0, 54421.5)	(60.0, 34843.0)	(61.0, 29986.5)	(62.0, 30438.5)	(63.0, 17616.0)	(64.0, 6789.0)	(65.0, 2772.0)	(66.0, 2093.5)	(67.0, 1411.0)	(68.0, 823.0)	(69.0, 577.0)	(70.0, 482.5)	(71.0, 379.0)	(72.0, 285.0)	(73.0, 216.5)	(74.0, 143.5)	(75.0, 104.5)	(76.0, 80.5)	(77.0, 66.0)	(78.0, 66.5)	(79.0, 56.5)	(80.0, 52.0)	(81.0, 45.0)	(82.0, 39.5)	(83.0, 29.5)	(84.0, 18.5)	(85.0, 17.0)	(86.0, 13.5)	(87.0, 9.0)	(88.0, 7.0)	(89.0, 5.5)	(90.0, 2.5)	(91.0, 2.0)	(92.0, 3.5)	(93.0, 2.5)	(94.0, 2.0)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 1.0)
SRR5482579_2	(0.0, 331.0)	(1.0, 526.0)	(2.0, 1049.5)	(3.0, 1579.0)	(4.0, 2037.5)	(5.0, 2068.5)	(6.0, 1726.5)	(7.0, 1905.5)	(8.0, 2156.5)	(9.0, 2144.5)	(10.0, 2146.5)	(11.0, 2172.5)	(12.0, 2340.5)	(13.0, 2571.0)	(14.0, 3120.0)	(15.0, 3614.5)	(16.0, 4192.0)	(17.0, 4839.0)	(18.0, 5169.0)	(19.0, 6657.0)	(20.0, 10428.5)	(21.0, 14019.5)	(22.0, 17836.5)	(23.0, 25709.0)	(24.0, 41847.0)	(25.0, 59898.0)	(26.0, 75980.0)	(27.0, 101586.5)	(28.0, 131594.5)	(29.0, 175901.5)	(30.0, 243442.0)	(31.0, 324265.0)	(32.0, 411693.5)	(33.0, 521630.5)	(34.0, 653265.0)	(35.0, 793902.0)	(36.0, 938020.5)	(37.0, 1043709.0)	(38.0, 1139480.5)	(39.0, 1237955.5)	(40.0, 1303411.0)	(41.0, 1346748.0)	(42.0, 1366335.0)	(43.0, 1350229.0)	(44.0, 1298789.5)	(45.0, 1220254.5)	(46.0, 1085323.5)	(47.0, 909928.5)	(48.0, 742091.0)	(49.0, 589421.0)	(50.0, 464182.0)	(51.0, 356366.5)	(52.0, 262026.0)	(53.0, 201540.5)	(54.0, 172299.5)	(55.0, 150065.5)	(56.0, 112180.0)	(57.0, 70522.0)	(58.0, 50503.5)	(59.0, 38851.0)	(60.0, 26638.5)	(61.0, 18695.0)	(62.0, 11922.5)	(63.0, 6920.0)	(64.0, 4199.5)	(65.0, 2449.5)	(66.0, 1872.0)	(67.0, 1475.0)	(68.0, 1163.5)	(69.0, 960.0)	(70.0, 776.0)	(71.0, 583.0)	(72.0, 459.5)	(73.0, 371.5)	(74.0, 300.5)	(75.0, 247.5)	(76.0, 212.5)	(77.0, 182.0)	(78.0, 154.5)	(79.0, 126.5)	(80.0, 110.0)	(81.0, 93.0)	(82.0, 73.5)	(83.0, 59.0)	(84.0, 58.5)	(85.0, 51.0)	(86.0, 40.5)	(87.0, 34.5)	(88.0, 23.0)	(89.0, 19.5)	(90.0, 19.0)	(91.0, 13.0)	(92.0, 8.5)	(93.0, 8.5)	(94.0, 6.5)	(95.0, 2.5)	(96.0, 3.5)	(97.0, 4.5)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 2.0)
