Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR5482575_1	(2.0, 1188.0)	(3.0, 328.0)	(4.0, 310.0)	(5.0, 332.0)	(6.0, 499.0)	(7.0, 1079.0)	(8.0, 2584.0)	(9.0, 4423.0)	(10.0, 6714.0)	(11.0, 9172.0)	(12.0, 12541.0)	(13.0, 16598.0)	(14.0, 21163.0)	(15.0, 24714.0)	(16.0, 29084.0)	(17.0, 33149.0)	(18.0, 37581.0)	(19.0, 42201.0)	(20.0, 47690.0)	(21.0, 53088.0)	(22.0, 61106.0)	(23.0, 71987.0)	(24.0, 89874.0)	(25.0, 116017.0)	(26.0, 149642.0)	(27.0, 194049.0)	(28.0, 254224.0)	(29.0, 330980.0)	(30.0, 429172.0)	(31.0, 551971.0)	(32.0, 713208.0)	(33.0, 946445.0)	(34.0, 1320481.0)	(35.0, 1965848.0)	(36.0, 3404512.0)	(37.0, 5904004.0)	(38.0, 5086050.0)	(39.0, 602381.0)	(40.0, 954.0)
SRR5482575_2	(2.0, 157651.0)	(3.0, 25271.0)	(4.0, 17326.0)	(5.0, 14327.0)	(6.0, 13668.0)	(7.0, 14540.0)	(8.0, 17886.0)	(9.0, 21615.0)	(10.0, 24961.0)	(11.0, 26871.0)	(12.0, 28001.0)	(13.0, 29213.0)	(14.0, 31334.0)	(15.0, 34920.0)	(16.0, 38295.0)	(17.0, 40226.0)	(18.0, 42416.0)	(19.0, 44834.0)	(20.0, 47491.0)	(21.0, 51561.0)	(22.0, 57984.0)	(23.0, 67206.0)	(24.0, 81773.0)	(25.0, 100990.0)	(26.0, 128046.0)	(27.0, 162500.0)	(28.0, 206942.0)	(29.0, 265297.0)	(30.0, 341940.0)	(31.0, 444872.0)	(32.0, 590322.0)	(33.0, 800982.0)	(34.0, 1128433.0)	(35.0, 1710274.0)	(36.0, 3048525.0)	(37.0, 6156437.0)	(38.0, 5915263.0)	(39.0, 605673.0)	(40.0, 1477.0)
SRR5482576_1	(2.0, 3954.0)	(3.0, 216.0)	(4.0, 195.0)	(5.0, 251.0)	(6.0, 400.0)	(7.0, 874.0)	(8.0, 2173.0)	(9.0, 3983.0)	(10.0, 5779.0)	(11.0, 8496.0)	(12.0, 11646.0)	(13.0, 15482.0)	(14.0, 19253.0)	(15.0, 22557.0)	(16.0, 25992.0)	(17.0, 29808.0)	(18.0, 32933.0)	(19.0, 37434.0)	(20.0, 41545.0)	(21.0, 46504.0)	(22.0, 53332.0)	(23.0, 63043.0)	(24.0, 78037.0)	(25.0, 100352.0)	(26.0, 131396.0)	(27.0, 169992.0)	(28.0, 222265.0)	(29.0, 289212.0)	(30.0, 372786.0)	(31.0, 481013.0)	(32.0, 621752.0)	(33.0, 828416.0)	(34.0, 1159276.0)	(35.0, 1756566.0)	(36.0, 3098687.0)	(37.0, 5212587.0)	(38.0, 4262893.0)	(39.0, 490849.0)	(40.0, 617.0)
SRR5482576_2	(2.0, 156324.0)	(3.0, 22227.0)	(4.0, 15255.0)	(5.0, 12470.0)	(6.0, 12110.0)	(7.0, 13012.0)	(8.0, 15594.0)	(9.0, 19110.0)	(10.0, 21812.0)	(11.0, 23839.0)	(12.0, 24507.0)	(13.0, 25203.0)	(14.0, 27803.0)	(15.0, 30915.0)	(16.0, 33316.0)	(17.0, 35344.0)	(18.0, 37230.0)	(19.0, 39094.0)	(20.0, 41399.0)	(21.0, 44730.0)	(22.0, 50521.0)	(23.0, 58430.0)	(24.0, 70844.0)	(25.0, 87831.0)	(26.0, 110688.0)	(27.0, 140153.0)	(28.0, 179495.0)	(29.0, 229048.0)	(30.0, 294962.0)	(31.0, 384893.0)	(32.0, 510388.0)	(33.0, 693363.0)	(34.0, 986001.0)	(35.0, 1508402.0)	(36.0, 2735673.0)	(37.0, 5436121.0)	(38.0, 5014620.0)	(39.0, 558677.0)	(40.0, 1142.0)
SRR5482577_1	(2.0, 459.0)	(3.0, 128.0)	(4.0, 142.0)	(5.0, 222.0)	(6.0, 327.0)	(7.0, 919.0)	(8.0, 2282.0)	(9.0, 4144.0)	(10.0, 6169.0)	(11.0, 9007.0)	(12.0, 12365.0)	(13.0, 16431.0)	(14.0, 20360.0)	(15.0, 23575.0)	(16.0, 27035.0)	(17.0, 30936.0)	(18.0, 35191.0)	(19.0, 39333.0)	(20.0, 43712.0)	(21.0, 48744.0)	(22.0, 56071.0)	(23.0, 66168.0)	(24.0, 81997.0)	(25.0, 105896.0)	(26.0, 138349.0)	(27.0, 180363.0)	(28.0, 236230.0)	(29.0, 306591.0)	(30.0, 395826.0)	(31.0, 506453.0)	(32.0, 658568.0)	(33.0, 878795.0)	(34.0, 1233053.0)	(35.0, 1885844.0)	(36.0, 3369062.0)	(37.0, 5394620.0)	(38.0, 4064804.0)	(39.0, 458461.0)	(40.0, 790.0)
SRR5482577_2	(2.0, 139649.0)	(3.0, 21840.0)	(4.0, 15433.0)	(5.0, 13034.0)	(6.0, 12506.0)	(7.0, 13618.0)	(8.0, 16285.0)	(9.0, 20128.0)	(10.0, 23123.0)	(11.0, 25132.0)	(12.0, 26145.0)	(13.0, 27185.0)	(14.0, 29628.0)	(15.0, 32618.0)	(16.0, 35306.0)	(17.0, 37070.0)	(18.0, 38992.0)	(19.0, 41252.0)	(20.0, 43798.0)	(21.0, 47219.0)	(22.0, 53101.0)	(23.0, 61852.0)	(24.0, 75524.0)	(25.0, 94055.0)	(26.0, 117559.0)	(27.0, 148911.0)	(28.0, 190075.0)	(29.0, 242259.0)	(30.0, 313358.0)	(31.0, 409114.0)	(32.0, 545347.0)	(33.0, 742766.0)	(34.0, 1056409.0)	(35.0, 1629988.0)	(36.0, 2949042.0)	(37.0, 5502629.0)	(38.0, 4927405.0)	(39.0, 618161.0)	(40.0, 1906.0)
SRR5482578_1	(2.0, 379.0)	(3.0, 125.0)	(4.0, 101.0)	(5.0, 161.0)	(6.0, 318.0)	(7.0, 842.0)	(8.0, 2221.0)	(9.0, 4010.0)	(10.0, 5903.0)	(11.0, 8784.0)	(12.0, 11682.0)	(13.0, 15426.0)	(14.0, 19414.0)	(15.0, 22902.0)	(16.0, 26223.0)	(17.0, 29795.0)	(18.0, 34043.0)	(19.0, 38550.0)	(20.0, 43068.0)	(21.0, 48185.0)	(22.0, 55009.0)	(23.0, 65204.0)	(24.0, 81505.0)	(25.0, 105040.0)	(26.0, 138203.0)	(27.0, 182544.0)	(28.0, 240183.0)	(29.0, 311865.0)	(30.0, 403674.0)	(31.0, 518059.0)	(32.0, 673826.0)	(33.0, 900077.0)	(34.0, 1259893.0)	(35.0, 1900945.0)	(36.0, 3353480.0)	(37.0, 5685535.0)	(38.0, 4600643.0)	(39.0, 498454.0)	(40.0, 663.0)
SRR5482578_2	(2.0, 115400.0)	(3.0, 21155.0)	(4.0, 14958.0)	(5.0, 12521.0)	(6.0, 12150.0)	(7.0, 13068.0)	(8.0, 15588.0)	(9.0, 19447.0)	(10.0, 22357.0)	(11.0, 23724.0)	(12.0, 25404.0)	(13.0, 26177.0)	(14.0, 28620.0)	(15.0, 31494.0)	(16.0, 34672.0)	(17.0, 36685.0)	(18.0, 38482.0)	(19.0, 41079.0)	(20.0, 43222.0)	(21.0, 47292.0)	(22.0, 52946.0)	(23.0, 61220.0)	(24.0, 74293.0)	(25.0, 92271.0)	(26.0, 116498.0)	(27.0, 149419.0)	(28.0, 190691.0)	(29.0, 244166.0)	(30.0, 315527.0)	(31.0, 414336.0)	(32.0, 551876.0)	(33.0, 755898.0)	(34.0, 1073800.0)	(35.0, 1649221.0)	(36.0, 2969578.0)	(37.0, 5855308.0)	(38.0, 5459550.0)	(39.0, 635467.0)	(40.0, 1374.0)
SRR5482579_1	(2.0, 363.0)	(3.0, 125.0)	(4.0, 116.0)	(5.0, 190.0)	(6.0, 316.0)	(7.0, 892.0)	(8.0, 2213.0)	(9.0, 3938.0)	(10.0, 5886.0)	(11.0, 8417.0)	(12.0, 11492.0)	(13.0, 14905.0)	(14.0, 18844.0)	(15.0, 22161.0)	(16.0, 25989.0)	(17.0, 29326.0)	(18.0, 33533.0)	(19.0, 38636.0)	(20.0, 43076.0)	(21.0, 47821.0)	(22.0, 54460.0)	(23.0, 64850.0)	(24.0, 80447.0)	(25.0, 104246.0)	(26.0, 137368.0)	(27.0, 180543.0)	(28.0, 235963.0)	(29.0, 307708.0)	(30.0, 397721.0)	(31.0, 512123.0)	(32.0, 663008.0)	(33.0, 883683.0)	(34.0, 1239803.0)	(35.0, 1875771.0)	(36.0, 3315422.0)	(37.0, 5660166.0)	(38.0, 4632891.0)	(39.0, 530371.0)	(40.0, 976.0)
SRR5482579_2	(2.0, 122773.0)	(3.0, 22403.0)	(4.0, 15386.0)	(5.0, 12510.0)	(6.0, 12158.0)	(7.0, 13152.0)	(8.0, 15929.0)	(9.0, 19539.0)	(10.0, 22561.0)	(11.0, 23916.0)	(12.0, 25201.0)	(13.0, 26100.0)	(14.0, 28424.0)	(15.0, 31522.0)	(16.0, 34565.0)	(17.0, 36708.0)	(18.0, 38832.0)	(19.0, 40723.0)	(20.0, 43177.0)	(21.0, 47005.0)	(22.0, 52898.0)	(23.0, 61528.0)	(24.0, 73844.0)	(25.0, 91777.0)	(26.0, 116341.0)	(27.0, 147821.0)	(28.0, 188968.0)	(29.0, 241707.0)	(30.0, 312279.0)	(31.0, 408784.0)	(32.0, 544460.0)	(33.0, 742465.0)	(34.0, 1058292.0)	(35.0, 1619680.0)	(36.0, 2923452.0)	(37.0, 5845980.0)	(38.0, 5486377.0)	(39.0, 634580.0)	(40.0, 1942.0)
