Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5482575_1	(1.0, 13.964922162943827)	(2.0, 6.969041511034704)	(3.0, 4.972127607379694)	(4.0, 3.9065371443269132)	(5.0, 3.191492766887502)	(6.0, 2.6620329815378114)	(7.0, 2.464385124745452)	(8.0, 2.1952907810193802)	(9.0, 1.9744430595009572)	('>10', 28.02741404033469)	('>50', 8.664125624930358)	('>100', 13.645011583252769)	('>500', 3.4654842908505006)	('>1k', 3.3386901234083823)	('>5k', 0.44575047391835887)	('>10k+', 0.11325072392864165)
SRR5482575_2	(1.0, 13.968974090172825)	(2.0, 8.729487688180406)	(3.0, 6.874550360851157)	(4.0, 5.560343056649312)	(5.0, 4.440414436458786)	(6.0, 3.9142409448776707)	(7.0, 3.1423848167067567)	(8.0, 2.6673750918956913)	(9.0, 2.354077350405238)	('>10', 27.471982251385825)	('>50', 7.167433489378709)	('>100', 9.725484352657963)	('>500', 1.9202222269436902)	('>1k', 1.8371122748271036)	('>5k', 0.1248042496400244)	('>10k+', 0.10111331896872436)
SRR5482576_1	(1.0, 13.856245630617215)	(2.0, 6.4014811919042565)	(3.0, 4.404502669544205)	(4.0, 3.458744606929171)	(5.0, 2.83590079855072)	(6.0, 2.3928384033191414)	(7.0, 2.104662416062146)	(8.0, 1.8523728611868324)	(9.0, 1.700367236570946)	('>10', 23.881540718666066)	('>50', 8.098340683709026)	('>100', 14.959095042594447)	('>500', 4.651062159884143)	('>1k', 7.125227066857866)	('>5k', 1.5516642536171141)	('>10k+', 0.7259542599867542)
SRR5482576_2	(1.0, 14.979362765215113)	(2.0, 8.262531673816289)	(3.0, 6.0536327681315205)	(4.0, 4.556105658856921)	(5.0, 3.5972896660595124)	(6.0, 3.0107492644627847)	(7.0, 2.514141691858936)	(8.0, 2.2021901303882943)	(9.0, 1.9239209382336264)	('>10', 23.330850079316818)	('>50', 7.3227226258708855)	('>100', 12.465240091365443)	('>500', 3.735976544455999)	('>1k', 4.905718563053538)	('>5k', 0.593252983765674)	('>10k+', 0.5463145551487405)
SRR5482577_1	(1.0, 14.103363867475615)	(2.0, 6.420537301751003)	(3.0, 4.274295182779942)	(4.0, 3.2748839281402162)	(5.0, 2.6958087005234015)	(6.0, 2.279291083570165)	(7.0, 2.035977862953447)	(8.0, 1.7436549917264927)	(9.0, 1.5300370740193048)	('>10', 21.30933178364758)	('>50', 7.340097802875937)	('>100', 14.968375546619276)	('>500', 5.381831013305962)	('>1k', 8.958645678505023)	('>5k', 1.8307198242439255)	('>10k+', 1.853148357862621)
SRR5482577_2	(1.0, 14.134421325458254)	(2.0, 7.528147051795584)	(3.0, 5.335702336951495)	(4.0, 4.059839844575279)	(5.0, 3.195905999522044)	(6.0, 2.5894490511794293)	(7.0, 2.1889447999665643)	(8.0, 1.9013319938876523)	(9.0, 1.5960838540945277)	('>10', 20.54675842294455)	('>50', 7.172428481791923)	('>100', 14.815599315551722)	('>500', 4.99853041768333)	('>1k', 6.9082405758845224)	('>5k', 1.7896525336657747)	('>10k+', 1.2389639950472722)
SRR5482578_1	(1.0, 13.200346377714203)	(2.0, 6.236296687504216)	(3.0, 4.328269024111253)	(4.0, 3.3996760959341095)	(5.0, 2.792250649446944)	(6.0, 2.4295688473939534)	(7.0, 2.0799638229171356)	(8.0, 1.9007522321713821)	(9.0, 1.7479391124120023)	('>10', 25.376112330160545)	('>50', 8.756600923006232)	('>100', 15.338771331022025)	('>500', 4.0779257400427085)	('>1k', 5.487114445504441)	('>5k', 1.496054837748689)	('>10k+', 1.352357542910364)
SRR5482578_2	(1.0, 13.829036258821667)	(2.0, 7.813689440111711)	(3.0, 6.013262015216444)	(4.0, 4.675847072903042)	(5.0, 3.9196431875586164)	(6.0, 3.1729969563298)	(7.0, 2.684883331087235)	(8.0, 2.2356357715871846)	(9.0, 2.0706249832035195)	('>10', 26.26837177629609)	('>50', 7.884160039304676)	('>100', 10.986917392493583)	('>500', 2.717508992280032)	('>1k', 3.874625216889554)	('>5k', 1.251967188422378)	('>10k+', 0.6008303774945527)
SRR5482579_1	(1.0, 13.80050035519394)	(2.0, 6.819654952931696)	(3.0, 4.545865504584852)	(4.0, 3.5936819675800797)	(5.0, 2.971220794584018)	(6.0, 2.4585637100242974)	(7.0, 2.1894604626787233)	(8.0, 1.9535005579698266)	(9.0, 1.8206564208906422)	('>10', 25.153503303951908)	('>50', 8.982181738240639)	('>100', 15.250290027221991)	('>500', 3.936043508618697)	('>1k', 5.159590683024545)	('>5k', 0.9857042818891301)	('>10k+', 0.3795817306151195)
SRR5482579_2	(1.0, 13.463137785584161)	(2.0, 7.590731652486422)	(3.0, 5.730757664335032)	(4.0, 4.490859843297136)	(5.0, 3.6407870180650272)	(6.0, 3.1172217351923592)	(7.0, 2.5725032357655047)	(8.0, 2.2386905864500117)	(9.0, 2.0233599103016595)	('>10', 26.864072726784045)	('>50', 8.607206283831477)	('>100', 12.177608154773122)	('>500', 2.874902555388465)	('>1k', 3.6990463914314144)	('>5k', 0.657947116408558)	('>10k+', 0.2511673399055722)
