# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "10" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-p" "-B" "-C" "-s" "2" "-a" "/mnt/d/GIS/yeast_metabolomics_2017/ref/downloads/sacCer3.gtf" "-o" "/mnt/d/GIS/yeast_metabolomics_2017/counts/gene_counts.txt" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam" "/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/AE3.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT1.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT2.sorted.bam	/mnt/d/GIS/yeast_metabolomics_2017/alignments/RT3.sorted.bam
gene:YAL069W	I	335	649	+	315	0	0	0	0	1	0
gene:YAL068W-A	I	538	792	+	255	0	1	0	0	0	0
gene:YAL068C	I	1807	2169	-	363	64	63	40	49	50	45
gene:YAL067W-A	I	2480	2707	+	228	1	0	0	2	2	0
gene:YAL067C	I	7235	9016	-	1782	31021	12565	15519	23782	20525	24337
gene:YAL066W	I	10091	10399	+	309	109	191	41	95	111	124
gene:YAL065C	I	11565	11951	-	387	12	5	5	4	10	5
gene:YAL064W-B	I	12046	12426	+	381	39	43	32	46	42	40
gene:YAL064C-A	I	13363	13743	-	381	4	1	1	2	0	3
gene:YAL064W	I	21566	21850	+	285	1	0	0	0	0	0
gene:YAL063C-A	I	22395	22685	-	291	0	0	1	1	2	0
gene:YAL063C	I	24000	27968	-	3969	126	105	103	122	93	111
gene:YAL062W	I	31567	32940	+	1374	3746	3061	4605	9967	10687	10111
gene:YAL061W	I	33448	34701	+	1254	3719	4622	6810	4932	4609	4856
gene:YAL060W	I	35155	36303	+	1149	16134	23205	24299	13099	16236	15130
gene:YAL059C-A	I	36496	36918	-	423	1	2	10	6	5	5
gene:YAL059W	I	36509	37147	+	639	2473	973	477	3628	3803	3451
gene:YAL058W	I	37464	38972	+	1509	1448	978	995	1523	1462	1580
gene:YAL056C-A	I	38696	39046	-	351	4	3	6	11	4	1
gene:YAL056W	I	39259	41901	+	2643	8890	7027	6833	5209	4412	5946
gene:YAL055W	I	42177	42719	+	543	1624	1086	238	354	368	345
gene:YAL054C	I	42881	45022	-	2142	148913	225628	247532	126034	121172	122884
gene:YAL053W	I	45899	48250	+	2352	15873	13444	11411	19275	18526	22198
gene:YAL051W	I	48564	51707	+	3144	6854	4723	4645	3719	3109	4466
gene:YAL049C	I	51855	52595	-	741	4285	5515	3909	2686	3027	3014
gene:YAL048C	I	52801	54789	-	1989	3256	2452	2276	2522	2224	2513
gene:YAL047W-A	I	54584	54913	+	330	3	8	0	0	12	10
gene:YAL047C	I	54989	56857	-	1869	1960	1101	622	1005	951	1258
gene:YAL046C	I	57029	57385	-	357	311	303	222	409	539	345
gene:YAL045C	I	57488	57796	-	309	1	4	3	10	10	10
gene:YAL044W-A	I	57518	57850	+	333	1155	1716	782	909	1233	934
gene:YAL044C	I	57950	58462	-	513	3123	3175	1594	5335	7654	4851
gene:YAL043C	I	58695	61052	-	2358	5191	3186	3809	6123	5320	6456
gene:YAL042C-A	I	61231	61608	-	378	43	55	80	30	25	58
gene:YAL042W	I	61316	62563	+	1248	3071	3072	3151	4695	4688	5140
gene:YAL041W	I	62840	65404	+	2565	5519	3528	3221	3387	3301	4080
gene:YAL040C	I	65778	67520	-	1743	6927	4592	6836	12003	8818	13283
gene:YAL039C	I	68716	69525	-	810	2021	1890	1394	3426	3586	3337
gene:YAL038W	I	71786	73288	+	1503	146674	161855	187819	125173	134067	163029
gene:YAL037C-B	I	72326	73300	-	975	8	8	2	11	0	13
gene:YAL037C-A	I	73426	73518	-	93	5	8	1	4	7	1
gene:YAL037W	I	74020	74823	+	804	330	283	123	156	115	148
gene:YAL036C	I	75043	76152	-	1110	1401	738	916	3310	2652	3210
gene:YAL035W	I	76427	79435	+	3009	20366	7142	7065	19691	17904	21930
gene:YAL034C-B	I	79489	79842	-	354	6	4	6	2	2	2
